Id_Contrato_Recurso,Id_Contrato,Id_Recurso_Partida,Porcentaje_Aportacion,Importe_Autorizado,Id_Contrato_Ampliacion
394,221,45,100,8309800.72,44
236,215,47,100,887343.15,
154,152,29,100,1096915.04,
356,227,55,50,225000,
405,206,45,100,83432.7,50
12,12,4,100,146207.51,
191,182,15,100,2221779.18,
7,7,2,100,187132.14,
327,264,49,50,782822.71,
391,8,9,100,2500000,59
263,230,47,50,830482.78,
190,181,36,24.37,590062.78,
248,224,8,100,146710.51,
459,8,80,100,644387.16,57
142,142,8,100,457441.87,
355,281,65,100,1010918.65,
174,170,33,100,181752.55,
386,199,45,100,65589.58,39
230,209,19,100,343390.6,
252,226,54,25,934187.14,
291,244,49,50,993497.8,
10,10,1,100,250131.99,
25,25,1,100,368020.99,
13,13,1,100,623827.73,
23,23,1,100,938123.15,
302,250,49,50,587775.02,
389,292,47,50,19199.76,41
64,65,14,100,455416.43,
93,95,20,100,1499999.8,
150,148,8,100,383933.85,
466,342,45,100,17140.82,
50,51,15,100,410814.57,
159,157,30,100,7401614.37,
43,44,14,100,1144014.03,
187,180,8,100,146545.71,
222,201,8,100,195217.5,
445,334,78,100,402898.39,
215,9,44,100,5335464.32,15
243,220,49,50,297164.13,
376,293,47,50,303036.85,
55,56,14,100,1321679.65,
69,70,2,100,183414.91,
78,80,2,100,294779.2,
256,152,29,100,67840.91,19
280,238,47,50,1394624.24,
440,329,14,100,1823282.9,
170,166,32,100,359481.56,
201,187,41,100,7693625.05,
163,161,8,100,437853.51,
338,270,35,100,1280714.97,
20,20,1,100,954210,
189,181,31,63.74,1543669.16,
232,211,45,100,1517265.7,
476,300,28,100,235948.85,72
366,134,14,100,367079.83,30
240,218,45,100,11940930.3,
88,90,10,100,294436.92,
474,182,15,100,1067200.39,70
346,275,47,50,326803.49,
335,268,49,50,335191.14,
264,230,49,50,830482.79,
24,24,1,100,235122.01,
17,17,5,100,2033066.54,
68,69,18,100,929915.76,
47,48,15,100,1007265.56,
117,117,14,100,902183.63,
372,290,34,100,37964189.97,
275,236,54,25,585192.99,
316,258,49,47.98,996370.37,
432,321,76,100,120146.28,
462,132,81,100,592700.04,62
494,223,50,100,266118.87,88
61,62,8,100,116437.4,
168,165,10,100,5142688.45,
123,123,14,100,1185426.1,
364,178,34,100,8175901.51,28
227,206,45,100,1995158.88,
54,55,14,100,485539.23,
234,213,18,100,2115288.58,
464,340,45,100,7547.77,
396,240,45,100,4231862.44,46
60,61,14,100,962354.8,
206,189,43,100,14122283.67,
306,252,59,90,3320632.58,
5,5,1,100,132981,
499,347,45,100,46301.32,
365,189,43,100,2367716.33,29
495,345,45,100,32251.92,
255,147,27,38.35,19783.15,18
400,296,48,100,1012053.23,
453,263,47,18.85,72242.87,34
133,132,11,100,1338256.78,
350,276,49,50,615664.22,
414,305,14,100,1735269.59,
