Id_Obra,Año,Clave_Obra,Nombre,Tipo_Precio,Id_Sub_Programa,Id_Localidad,Beneficiarios,Id_Convenio,Tipo_Obra_Proyecto,Id_Sub_Tipo_Obra,Observaciones,Enviar_Para,Id_Oficio_Asignacion_Obra
324,2015,0112 ESCAL,PLAZA COMUNITARIA VILLA DE LAS FLORES ESCAL 1 C,Unitario,1,1,0,NULL,Obra,1,08/ABR/2017 XOCH,CONTRATADO,0
325,2015,0078 ESC 3,"AMPLIACIÓN DEL SISTEMA INTEGRADO DE TRANSPORTE DE LEÓN (SIT OPTIBÚS) 3A. Y 4A. ETAPA. CORREDOR TRONCAL VILLA - ESCOBEDO - ALDAMA 3A. ETAPA (6TA ETAPA PARADEROS TRAMO BLVD. JUAN ALONSO DE TORRES A BLVD. ADOLFO LOPEZ MATEOS; PARADERO ALFARO TIPO I, Y PARADERO VICENTE VALTIERRA TIPO I, PARADERO FRAY DANIEL MIRELES TIPO I) ",Unitario,1,1,0,NULL,Obra,1,CAPTURADO 20/04/2017 ALMA,CONTRATOS,0
326,2015,0287 ESCAL,ESCALATORIA DE INFRAESTRUCTURA DEL CENTRO COMUNITARIO SAN NICOLAS DE LOS GONZALEZ EN EL MUNICIPIO DE LEON (SEGUNDA PARTE),Unitario,1,1,0,NULL,Obra,1,01/MAYO/2017 XOCH,CONTRATADO,0
327,2015,0277 ESCAL,ESCALATORIAS DE PAVIMENTACION DE LA CALLE LOMAS DEL SOL DE ATITLAN A LOMAS DE BUGAMBILIAS COL. LOMAS DE MEDINA,Unitario,1,1,0,NULL,Obra,1,01/MAY/2017 XOCH,CONTRATADO,0
328,2015,0079 *,AMPLIACIÓN DEL SISTEMA INTEGRADO DE TRANSPORTE DE LEÓN (SIT OPTIBÚS) 3ª. Y 4ª.  ETAPA. CORREDOR ECHEVESTE SAN JERONIMO 4Aa. ETAPA (TERCER ETAPA MICROESTACION HIDALGO – TALABARTEROS).  GASTOS NO RECUPERABLES,Alzado,1,1,0,NULL,Obra,1,XOCH 19/JUL/2017   (1A CORR 13/JUN/17),CONTRATADO,0
329,2015,0064 ESC,AMPLIACIÓN DEL SISTEMA INTEGRADO DE TRANSPORTE DE LEÓN (SIT OPTIBÚS) 3a Y 4a ETAPA CORREDOR TRONCAL ECHEVESTE SAN JERÓNIMO 4a ETAPA.,Unitario,1,1,0,NULL,Obra,1,20/09/2017 ALMA,CONTRATADO,0
330,2015,0073 A.I.,"AMPLIACIÓN DEL SISTEMA INTEGRADO DE TRANSPORTE DE LEÓN (SIT OPTIBÚS) 3ª. Y 4ª.  ETAPA. CORREDOR TRONCAL VILLA – ESCOBEDO – ALDAMA  3ª. ETAPA   (3RA ETAPA VIALIDAD BLVD. FCO, VILLA TRAMO DE AV. SATURNO A CALLE NENÚFAR)",Unitario,1,1,0,NULL,Obra,1,22/SEPT/2017 XOCH,CONTRATADO,0
331,2015,0026 A.I.,AMPLIACIÓN DEL SISTEMA INTEGRADO DE TRANSPORTE DE LEÓN (SIT OPTIBÚS) 3ª. Y 4ª.  ETAPA. CORREDOR TRONCAL ECHEVESTE – SAN JERONIMO 4ª.  ETAPA (VIALIDAD BLVD. HIDALGO CUERPO ORIENTE TRAMO: DEL BLVD. CAMPESTRE A  CALLE DEL SOL),Unitario,1,1,0,NULL,Obra,1,22/SEPT/2017 XOCH,CONTRATADO,0
332,2015,0072 A.I.,"AMPLIACIÓN DEL SISTEMA INTEGRADO DE TRANSPORTE DE LEÓN (SIT OPTIBÚS) 3ª. Y 4ª.  ETAPA. CORREDOR TRONCAL VILLA – ESCOBEDO – ALDAMA  3ª. ETAPA  ( 2DA ETAPA VIALIDAD BLVD. FCO, VILLA TRAMO DE CALLE ANTONIO LANZAGORTA A AV. SATURNO)",Unitario,1,1,0,NULL,Obra,1,XOCH 04/OCT/2017,CONTRATADO,0
333,2015,0034 A.I.,AMPLIACIÓN DEL SISTEMA INTEGRADO DE TRANSPORTE DE LEÓN (SIT OPTIBÚS) 3ª. Y 4ª.  ETAPA. TERMINAL MARAVILLAS (EDIFICIO ADMINISTRATIVO Y OBRAS COMPLEMENTARIAS 2DA. ETAPA),Unitario,1,1,0,NULL,Obra,1,XOCH 09/OCT/2017,CONTRATADO,0
334,2015,0074 A.I.,"AMPLIACIÓN DEL SISTEMA INTEGRADO DE TRANSPORTE DE LEÓN (SIT OPTIBÚS) 3ª. Y 4ª.  ETAPA. CORREDOR TRONCAL VILLA – ESCOBEDO – ALDAMA  3ª. ETAPA   (4TA ETAPA VIALIDAD BLVD. FCO, VILLA TRAMO DE CALLE NENÚFAR A BLVD. ADOLFO LOPEZ MATEOS )",Unitario,1,1,0,NULL,Obra,1,XOCH 19/11/2017,CONTRATADO,0
335,2015,0275 A.I.,"AMPLIACIÓN DEL SISTEMA INTEGRADO DE TRANSPORTE DE LEÓN (SIT OPTIBÚS) 3A. 4A.  ETAPA. CORREDOR TRONCAL ECHEVESTE SAN JERONIMO  4TA ETAPA (CUARTA ETAPA, SEMAFORIZACION INTERSECCIONES)",Unitario,1,1,0,NULL,Obra,1,XOCH  05/DIC/2017,CONTRATADO,0
336,2015,0071 A.I.,AMPLIACION DEL SISTEMA INTEGRADO DE TRANSPORTE DE LEÓN (SIT OPTIBÚS) 3A. Y 4A. ETAPA. CORREDOR TRONCAL VILLA - ESCOBEDO - ALDAMA 3A. ETAPA (1RA. VIALIDAD BLVD. JUAN ALONSO DE TORRES TRAMO DE ESTACION DE TRANSFERENCIA A BLVD. FRANCISCO VILLA Y VIALIDAD BLVD. FCO. VILLA TRAMO DE BLVD. JUAN ALONSO DE TORRES A CALLE ANTONIO LANZAGORTA),Unitario,1,1,0,NULL,Obra,1,XOCH 14/DIC/2017,CONTRATADO,0
337,2015,0064-A.I.,AMPLIACIÓN DEL SISTEMA INTEGRADO DE TRANSPORTE DE LEÓN (SIT OPTIBÚS) 3a Y 4a ETAPA CORREDOR TRONCAL ECHEVESTE SAN JERÓNIMO 4a ETAPA. A.I.,Unitario,1,1,0,NULL,Obra,1,04/12/2018 ALMA,CONTRATADO,0
338,2015,0064-ESC1,AMPLIACIÓN DEL SISTEMA INTEGRADO DE TRANSPORTE DE LEÓN (SIT OPTIBÚS) 3a Y 4a ETAPA CORREDOR TRONCAL ECHEVESTE SAN JERÓNIMO 4a ETAPA.,Unitario,1,1,0,NULL,Obra,1,05/12/2018 ALMA,CONTRATADO,0
339,2015,0036-ESC,AMPLIACIÓN DEL SISTEMA INTEGRADO DE TRANSPORTE DE LEÓN (SIT OPTIBÚS) 3A. Y 4A. ETAPA TERMINAL ECHEVESTE (EDIFICIO ADMINISTRATIVO Y OBRAS COMPLEMENTARIAS 2DA. ETAPA).,Unitario,1,1,0,NULL,Obra,1,10/12/2018 ALMA,CONTRATADO,0
