Id_Contrato_Recurso,Id_Contrato,Id_Recurso_Partida,Porcentaje_Aportacion,Importe_Autorizado,Id_Contrato_Ampliacion
401,327,40,100,301394.99,
407,332,33,100,499303.09,
70478,375,102,100,101.38,
194,178,43,37.5,937345.44,
290,192,60,100,199949.6,17
37,36,9,100,450586.56,
200,180,42,25,562112.35,
142,138,30,100,1014941.63,
345,184,48,68.4,106380.56,32
129,125,30,100,739681.31,
208,182,44,25,345119.97,
222,191,49,100,400000,
100482,95,14,100,5849355.77,83
277,240,40,100,251798.52,
403,196,1,100,182378.54,47
272,235,40,100,170895.9,
227,194,39,100,497018.8,
388,317,81,100,1795649.84,
233,199,1,100,954359.85,
250,214,40,100,395309.85,
449,67,14,100,3525669,60
392,320,76,100,1399192.12,
395,323,25,100,500408.03,
70,71,14,100,17583587.62,
398,324,60,100,1026947.88,
169,161,37,100,680621.98,
212,184,35,31.6,350782.1,
8,9,1,100,241629.43,
60,61,14,100,50979787.53,
73,74,8,100,714028.53,
85,86,6,100,2960866.15,
100495,256,95,100,43166.55,73
258,222,57,25,1096699.44,
100485,380,102,100,326229.35,
310,179,45,100,411883.6,22
203,181,42,37.5,790254.83,
385,314,40,100,220347.15,
218,189,43,37.5,445223.08,
