Id_Contrato_Recurso,Id_Contrato,Id_Recurso_Partida,Porcentaje_Aportacion,Importe_Autorizado
90893,657,118,100,1391545.67
90894,658,1,100,29384.7
90895,659,10,100,1545148.23
90896,622,25,100,366896.65
90897,475,25,100,75714.72
90898,474,25,100,357359.6
90899,473,25,100,454740.16
90900,660,127,100,9447616.29
90901,661,95,100,1415815.26
90902,662,84,100,323426.82
90903,477,103,100,265689.79
90904,663,25,100,618786.44
90905,664,10,100,1550000.27
90906,665,84,100,65001.33
90907,666,89,100,145952.45
90908,667,84,100,620477.39
90909,668,84,100,72860.2
90910,669,86,100,25617.26
90911,670,123,100,4431019.23
90912,671,122,100,2739816.48
90913,672,61,100,9220312.73
90915,674,84,100,266657.53
90916,675,86,100,120594.54
90917,676,10,100,90973.29
90918,456,79,100,96307.49
90919,677,86,100,170958.17
90920,678,55,100,160814.19
90921,679,133,100,750000
90922,680,43,100,242556
90923,681,113,100,79999.75
90924,682,95,100,4404504.22
90925,506,136,100,899857.73
90927,684,55,100,493210.57
90928,685,127,100,11819268.42
90929,686,133,100,1510428.97
90930,683,129,100,2269697.99
90931,687,125,100,2786307.66
90932,688,31,100,1398946.64
90933,689,95,100,1376075.61
90934,690,125,100,1719701.98
90936,692,125,100,1428300.81
90937,373,7,100,300294.35
90938,693,132,100,808659.39
90939,694,95,100,4288386.8
90940,695,15,100,947669.91
90941,696,31,100,1054554.47
90942,697,55,100,650000
90943,405,63,100,64567.51
90944,698,11,100,620380.3
90945,699,110,100,714979
100945,700,16,100,60690.67
100946,549,103,100,470000
100947,701,99,100,8127284.41
100948,701,99,100,1762715.55
100949,702,103,100,1000000
100950,703,55,100,608434.33
100951,704,121,100,26976066.53
100952,365,106,100,2855855.27
100953,705,84,100,999982.3
100954,706,111,100,1483372.76
100955,707,135,100,799998.93
100956,708,127,100,7934566.08
100957,709,24,100,800000
100958,710,86,100,266023.5
100959,711,84,100,231874
100960,712,10,100,1299713.93
100961,713,129,100,5971825.65
100962,714,130,100,2466117.73
100963,715,16,100,1501316
100964,716,31,100,877931.48
100965,717,131,100,1359046.08
100966,718,13,100,1316583.76
100967,719,95,100,2736472.56
100968,410,106,100,1714402.56
100969,720,13,100,631957.47
100970,721,115,100,7523432.93
100971,722,84,100,42268.03
100972,723,7,100,262376.8
100973,724,16,100,454035.79
100974,725,134,100,1193643.74
100975,226,1,100,220427.05
100976,726,31,100,1069801.4
100977,727,84,100,499993.01
100978,728,86,100,80106.39
100979,729,125,100,5359571.97
100980,730,84,100,315564.07
100981,731,25,100,1302188.88
100982,732,125,100,1357977.21
100983,733,95,100,4004346.49
100984,734,13,100,1549998.24
100985,735,115,100,12393661.2
100986,736,126,100,2193446.89
100987,737,86,100,941745.77
100988,738,70,57.33,290882.25
100989,738,55,42.67,216528.2
100990,739,31,100,1500692.53
100991,740,15,100,1449948.06
100992,741,31,100,1150402.62
100993,742,31,100,1210693.47
100994,743,31,100,1367546.76
100995,744,16,100,163397.95
100996,745,125,100,1532719.01
100997,746,95,100,5343043.37
100999,747,10,100,1498704.92
101000,748,126,100,2118573.62
101001,749,111,100,1464882.89
101002,750,111,100,1477209.47
101003,751,25,100,3093654.41
101004,199,25,100,10052.51
101005,525,71,100,649999.85
101006,633,7,100,114019.17
101007,590,7,100,273771.89
101008,555,7,100,217137.75
101009,656,84,100,363698.79
101010,591,7,100,237855.98
101011,631,7,100,483897.73
