Id_Obra_Recurso,Id_Obra,Id_Recurso_Partida,Porcentaje_Aportacion,Importe_Autorizado,Observaciones,Movimiento,No_Registro_Obrasi,Numero_Oficio,Fecha_Oficio
80626,40,11,100,28199.06,,AMPLIACION,NULL,S/N AMPLIACION,02/01/2017 00:00
80627,442,83,44.4,1529291.53,,INICIAL,NULL,S/N,27/11/2017 00:00
80628,442,106,55.6,1915058.76,,INICIAL,NULL,S/N,27/11/2017 00:00
80629,263,36,100,583857.67,,AMPLIACION,NULL,S/N AMPLIACION,02/01/2017 00:00
80630,476,10,100,16499356.08,,INICIAL,NULL,S/N,27/11/2017 00:00
80631,477,105,100,999999.7,,INICIAL,NULL,S/N,27/11/2017 00:00
80632,355,67,100,267765.24,,AMPLIACION,NULL,S/N AMPLIACION,02/01/2017 00:00
80633,277,54,100,350298.4,,AMPLIACION,NULL,S/N AMPLIACION,02/01/2017 00:00
80634,478,38,100,192580.69,,INICIAL,NULL,S/N  ,02/01/2017 00:00
80635,257,49,100,301302.21,,AMPLIACION,NULL,S/ AMPL,16/11/2017 00:00
80636,390,43,100,878935.27,,AMPLIACION,NULL,S/N AMPL,08/09/2017 00:00
80638,202,16,100,78022.99,,AMPLIACION,NULL,S/N AMPL,25/09/2017 00:00
80639,202,46,100,78022.99,,AMPLIACION,NULL,S/N AMPL,25/09/2017 00:00
80640,244,36,100,1077438.17,,AMPLIACION,NULL,S/N AMPLIACION,02/01/2017 00:00
80641,287,34,100,846971.71,AMPLIACION ,AMPLIACION,NULL,S/N,13/11/2017 00:00
80642,139,25,100,346717.16,,AMPLIACION,NULL,AMPL.1,10/11/2017 00:00
80644,104,11,100,82000.27,,AMPLIACION,NULL,S/N AMPLIACION,02/01/2017 00:00
80645,479,103,100,851977.82,,INICIAL,NULL,,06/11/2017 00:00
80646,249,36,100,1331774.97,AMPLIACION 1,AMPLIACION,NULL,AMPL. 1,23/11/2017 00:00
80647,410,82,100,274870.75,,AMPLIACION,NULL,S/N AMPLIACION,02/01/2017 00:00
80648,465,107,100,1000000,,INICIAL,NULL,S/N  ,02/01/2017 00:00
80650,229,35,100,565000,,AMPLIACION,NULL,S/N AMPLIACION,02/01/2017 00:00
80651,378,55,27.06,107940.67,,INICIAL,NULL,S/N  ,02/01/2017 00:00
80652,378,70,72.94,290882.35,,INICIAL,NULL,S/N  ,02/01/2017 00:00
80653,255,36,100,817973.96,,AMPLIACION,NULL,S/N AMPLIACION,02/01/2017 00:00
80654,243,36,100,974972.77,,AMPLIACION,NULL,S/N AMPLIACION,02/01/2017 00:00
80656,266,37,100,758588.92,1ER. AMPLIACION,AMPLIACION,NULL,AMPL. 1,04/12/2017 00:00
80657,258,37,100,1155766.32,,AMPLIACION,NULL,S/N AMPLIACION,02/01/2017 00:00
80658,383,108,100,110197.08,,AMPLIACION,NULL,S/N AMPLIACION,02/01/2017 00:00
80659,412,83,100,361919.01,,AMPLIACION,NULL,S/N AMPLIACION,02/01/2017 00:00
80660,480,15,100,1494312,,INICIAL,NULL,s/n,11/12/2017 00:00
80661,481,109,100,2908467.62,,INICIAL,NULL,s/n,11/12/2017 00:00
80662,482,95,100,2559034.22,,INICIAL,NULL,s/n,11/12/2017 00:00
80663,483,42,100,500000,,INICIAL,NULL,s/n,11/12/2017 00:00
80664,484,15,100,456630.74,,INICIAL,NULL,s/n,11/12/2017 00:00
80665,485,110,100,714979,,INICIAL,NULL,S/N,11/12/2017 00:00
80666,486,25,100,1455208.11,,INICIAL,NULL,S/N,11/12/2017 00:00
80667,487,18,100,1496734.64,,INICIAL,NULL,S/N,11/12/2017 00:00
80668,488,18,100,1366135.11,,INICIAL,NULL,S/N,11/12/2017 00:00
80669,489,25,100,769241.7,,INICIAL,NULL,S/N,11/12/2017 00:00
80670,490,25,100,354120.38,,INICIAL,NULL,S/N,11/12/2017 00:00
80671,491,25,100,1460650.93,,INICIAL,NULL,S/N,11/12/2017 00:00
