Id_Estimacion_Amortizacion_Desglose,Id_Estimacion,Id_Contrato_Ampliacion,Concepto,Importe_Contratado,Actual,Anterior,Acumulado,Por_Ejercer,Porcentaje_Anticipo,Importe_Anticipo,Actual_Amortizacion,Anterior_Amortizacion,Acumulado_Amortizacion,Por_Amortizar
135,52,,CONTRATO,30385297.76,4132575.02,5582407.18,9714982.2,20670315.56,30,9115589.33,1239772.51,1674722.16,2914494.67,6201094.66
136,62,,CONTRATO,30385297.76,160031.14,9714982.2,9875013.34,20510284.42,30,9115589.33,48009.34,2914494.67,2962504.01,6153085.32
137,128,,CONTRATO,30385297.76,704946.84,9875013.34,10579960.18,19805337.58,30,9115589.33,211484.05,2962504.01,3173988.06,5941601.27
138,169,,CONTRATO,30385297.76,545422.23,10579960.18,11125382.41,19259915.35,30,9115589.33,163626.67,3173988.06,3337614.73,5777974.6
139,251,,CONTRATO,30385297.76,841632.78,11125382.41,11967015.19,18418282.57,30,9115589.33,252489.83,3337614.73,3590104.56,5525484.77
140,297,,CONTRATO,30385297.76,314739.51,11967015.19,12281754.7,18103543.06,30,9115589.33,94421.85,3590104.56,3684526.41,5431062.92
141,428,,CONTRATO,30385297.76,1973259.78,12281754.7,14255014.48,16130283.28,30,9115589.33,591977.93,3684526.41,4276504.34,4839084.99
142,460,,CONTRATO,30385297.76,1967359.01,14255014.48,16222373.49,14162924.27,30,9115589.33,590207.7,4276504.34,4866712.04,4248877.29
143,660,,CONTRATO,30385297.76,392603.15,16222373.49,16614976.64,13770321.12,30,9115589.33,117780.95,4866712.04,4984492.99,4131096.34
144,687,,CONTRATO,30385297.76,123934.6,16614976.64,16738911.24,13646386.52,30,9115589.33,37180.38,4984492.99,5021673.37,4093915.96
145,772,,CONTRATO,30385297.76,634913.79,16738911.24,17373825.03,13011472.73,30,9115589.33,190474.14,5021673.37,5212147.51,3903441.82
146,853,,CONTRATO,30385297.76,744725.59,17373825.03,18118550.62,12266747.14,30,9115589.33,223417.68,5212147.51,5435565.19,3680024.14
147,869,,CONTRATO,30385297.76,506528.21,18118550.62,18625078.83,11760218.93,30,9115589.33,151958.46,5435565.19,5587523.65,3528065.68
148,870,,CONTRATO,30385297.76,311477.54,18625078.83,18936556.37,11448741.39,30,9115589.33,93443.26,5587523.65,5680966.91,3434622.42
149,906,,CONTRATO,30385297.76,1188944.78,18936556.37,20125501.15,10259796.61,30,9115589.33,356683.43,5680966.91,6037650.34,3077938.99
150,910,,CONTRATO,30385297.76,813962.14,20125501.15,20939463.29,9445834.47,30,9115589.33,244188.64,6037650.34,6281838.98,2833750.35
151,1035,,CONTRATO,30385297.76,915078.76,20939463.29,21854542.05,8530755.71,30,9115589.33,274523.63,6281838.98,6556362.61,2559226.72
152,1573,,CONTRATO,30385297.76,470551.23,21854542.05,22325093.28,8060204.48,30,9115589.33,141165.37,6556362.61,6697527.98,2418061.35
153,1663,,CONTRATO,30385297.76,454032.9,22325093.28,22779126.18,7606171.58,30,9115589.33,136209.87,6697527.98,6833737.85,2281851.48
154,1684,,CONTRATO,30385297.76,279767.04,22779126.18,23058893.22,7326404.54,30,9115589.33,83930.11,6833737.85,6917667.96,2197921.37
155,1912,,CONTRATO,30385297.76,4757476.59,23058893.22,27816369.81,2568927.95,30,9115589.33,2197921.37,6917667.96,9115589.33,0
156,107,,CONTRATO,1087630.81,1003405.93,0,1003405.93,84224.88,30,326289.24,326289.24,0,326289.24,0
157,20,,CONTRATO,226969.78,35861.05,0,35861.05,191108.73,30,68090.93,10758.32,0,10758.32,57332.61
158,35,,CONTRATO,226969.78,58716.69,35861.05,94577.74,132392.04,30,68090.93,17615.01,10758.32,28373.33,39717.6
159,279,,CONTRATO,226969.78,80542.72,94577.74,175120.46,51849.32,30,68090.93,24162.82,28373.33,52536.15,15554.78
160,1288,,CONTRATO,226969.78,25754.99,175120.46,200875.45,26094.33,30,68090.93,15554.78,52536.15,68090.93,0
161,5,,CONTRATO,530599.43,30560.06,0,30560.06,500039.37,30,159179.83,9168.02,0,9168.02,150011.81
162,18,,CONTRATO,530599.43,19689.09,30560.06,50249.15,480350.28,30,159179.83,5906.73,9168.02,15074.75,144105.08
163,49,,CONTRATO,530599.43,113371.38,50249.15,163620.53,366978.9,30,159179.83,34011.41,15074.75,49086.16,110093.67
164,74,,CONTRATO,530599.43,23478.47,163620.53,187099,343500.43,30,159179.83,7043.54,49086.16,56129.7,103050.13
165,96,,CONTRATO,530599.43,189469.04,187099,376568.04,154031.39,30,159179.83,56840.71,56129.7,112970.41,46209.42
166,458,,CONTRATO,530599.43,91253.82,376568.04,467821.86,62777.57,30,159179.83,27376.15,112970.41,140346.56,18833.27
