Id_Descuento_Adicional,Id_Estimacion,Nombre,Importe
316,1862,C.N.E.C.,117.17
317,1863,,194.48
318,1864,,17.42
319,1876,C.N.E.C.,139.93
320,1877,C.N.E.C.,134.67
321,1888,C.N.E.C.,212.41
322,1888,SANCION DEFINIT,17416.48
323,1894,R.A.P.C.E.,2925.23
324,1899,R.A.P.C.E.,1112.1
325,1899,RAPCE EST 1,1008.39
326,1901,R.A.P.C.E.,1011.53
327,1908,C.N.E.C.,51.69
328,1909,C.N.E.C.,549.39
329,1919,R.A.P.C.E.,773.51
330,1926,C.N.E.C.,748.88
331,1950,C.N.E.C.,82.08
332,1951,C.N.E.C.,165.09
333,1954,C.N.E.C.,2925.26
334,1955,C.N.E.C.,140.53
335,1969,R.A.P.C.E.,466.68
336,1974,C.N.E.C.,385.7
337,1983,C.N.E.C.,78.65
338,1991,DEDUCTIVA AMORT,28249.74
339,1993,C.N.E.C.,301.58
340,1995,C.N.E.C.,162.38
341,2004,R.A.P.C.E.,1250.53
342,2006,C.N.E.C.,78.89
343,2013,R.A.P.C.E.,128.22
344,2014,R.A.P.C.E.,433.43
345,2015,R.A.P.C.E.,8.56
346,2018,R.A.P.C.E.,570.72
347,2028,R.A.P.C.E.,3078.95
348,2047,R.A.P.C.E.,1993.76
349,2047,RAPCE EST-1,2126.98
350,2048,R.A.P.C.E.,763.94
351,2049,R.A.P.C.E.,59.46
352,2062,C.N.E.C.,218.2
353,2063,C.N.E.C.,373.08
354,2067,MULTA ADMINISTR,14377.71
355,2072,C.N.E.C.,227.61
356,2073,C.N.E.C.,98.04
357,2080,C.N.E.C.,224.25
358,2092,R.A.P.C.E.,15.68
359,2108,R.A.P.C.E.,1856.61
360,2130,C.N.E.C.,169.12
361,2137,R.A.P.C.E.,712.42
362,2138,C.N.E.C.,163.96
363,2145,SANCION DEFINIT,8430.25
364,2152,R.A.P.C.E.,62.24
365,2153,R.A.P.C.E.,172.89
366,2154,R.A.P.C.E.,23.72
367,2157,C.N.E.C.,285.65
368,2168,R.A.P.C.E.,667.13
369,2178,C.N.E.C.,424.59
370,2182,C.N.E.C.,526.55
371,2204,R.A.P.C.E.,1327.64
372,2221,R.A.P.C.E.,2610.55
373,2238,C.N.E.C.,122.46
374,2246,C.N.E.C.,201.61
375,2247,C.N.E.C.,898.25
376,2248,C.N.E.C.,18.18
377,2289,C.N.E.C.,642.46
378,2289,SANCION DEFINIT,7163.3
