Id_Contrato_Fianza,Id_Contrato,Id_Fianza,Numero_Fianza,Fecha_Emision,Fecha_Recepcion,Nombre_Afianzadora,Fecha_Liberacion,Id_Contrato_Ampliacion,Descripcion_Fianza,Importe_Fianza,Observaciones_Fianza
143,63,2,1227795,01/01/2011 00:00,01/01/2011 00:00,"FIANZAS MONTERREY, S.A.",01/01/2012 00:00,,CUMPLIMIENTO,49087.02,
144,63,1,1227792,01/01/2011 00:00,01/01/2011 00:00,"FIANZAS MONTERREY, S.A.",01/01/2012 00:00,,30% ANTICIPO,147261.07,
145,47,2,1227547,01/04/2011 00:00,01/04/2011 00:00,FIANZAS MONTERREY SA,01/04/2012 00:00,,CUMPLIMIENTO,49052.67,
146,47,1,1227551,01/04/2011 00:00,01/04/2011 00:00,FIANZAS MONTERREY SA,01/04/2012 00:00,,30% ANTICIPO,147158,
147,47,2,1227547-AMP,04/07/2011 00:00,04/07/2011 00:00,FIANZAS MONTERREY SA,04/07/2012 00:00,,CUMPLIMIENTO,82408.12,
148,100,1,1332501,01/04/2011 00:00,01/04/2011 00:00,"AFIANZADORA SOFIMEX, S.A.",01/04/2012 00:00,,30% ANTICIPO,397234.17,
149,100,2,1332510,01/04/2011 00:00,01/04/2011 00:00,"AFIANZADORA SOFIMEX, S.A.",01/04/2012 00:00,,CUMPLIMIENTO,132411.39,
150,100,2,1332510  AMP,01/07/2011 00:00,01/07/2011 00:00,"AFIANZADORA SOFIMEX, S.A.",01/07/2012 00:00,,CUMPLIMIENTO AMP,90382.69,
151,101,1,1332501,01/04/2011 00:00,01/04/2011 00:00,"AFIANZADORA SOFIMEX, S.A.",01/04/2012 00:00,,30% ANTICIPO,397234.17,
152,101,2,1332510,01/04/2011 00:00,01/04/2011 00:00,"AFIANZADORA SOFIMEX, S.A.",01/04/2012 00:00,,CUMPLIMIENTO,132411.39,
153,101,2,1332510 AMP,01/07/2011 00:00,01/07/2011 00:00,AFIANZADORA SOFIMEX S.A.,01/07/2012 00:00,,CUMPLIMIENTO AMP,90382.69,
154,102,1,1332501,01/04/2011 00:00,01/04/2011 00:00,"AFIANZADORA SOFIMEX, S.A.",01/04/2012 00:00,,30% ANTICIPO,397234.17,
155,102,2,1332510,01/04/2011 00:00,01/04/2011 00:00,"AFIANZADORA SOFIMEX, S.A.",01/04/2012 00:00,,CUMPLIMIENTO,132411.39,
156,102,2,1332510  AMP,01/07/2011 00:00,01/07/2011 00:00,"AFIANZADORA SOFIMEX, S.A.",01/07/2012 00:00,,CUMPLIMIENTO AMP,90382.69,
157,42,2,1328840,30/03/2011 00:00,30/03/2011 00:00,"AFIANZADORA SOFIMEX, S.A.",30/03/2012 00:00,,CUMPLIMIENTO,1206892.24,
158,42,1,1328799,30/03/2011 00:00,30/03/2011 00:00,"AFIANZADORA SOFIMEX, S.A.",30/03/2012 00:00,,30% ANTICIPO,4199985,
159,79,2,10031-00236-4,31/03/2011 00:00,31/03/2011 00:00,"AFIANZADORA INSURGENTES, S.A.",31/03/2012 00:00,,CUMPLIMIENTO,135316.46,
160,79,1,10031-00237-1,31/03/2011 00:00,31/03/2011 00:00,"AFIANZADORA INSURGENTES, S.A.",31/03/2012 00:00,,30% ANTICIPO,405949.4,
