Id_Estimacion_Deduccion,Id_Estimacion,Id_Descuento,Monto_Deduccion
8236,2047,3,3987.52
9443,2862,3,330.32
6027,577,3,1812.03
8270,2069,1,1518.96
8728,2357,2,194.99
9517,2922,3,158.82
5052,40,1,6005.35
5060,44,1,427.88
5547,312,1,66.52
6310,736,3,3988.46
6603,905,1,885.98
7675,1648,2,1152.73
8994,2531,3,1064.1
5525,297,2,1356.64
6408,795,1,142.38
6546,867,1,213.45
7071,1193,3,566.75
8180,2010,3,10804.54
8329,2107,3,9911.83
8359,2124,1,175.82
5126,78,1,437.64
7037,1174,1,555.64
7369,1402,3,1172.65
8455,2185,3,35.49
6053,590,3,583.31
9248,2724,1,4106.27
9485,2901,2,1849.69
6081,609,3,5342.46
6239,700,3,197.33
7070,1193,1,113.35
7670,1643,2,376.26
8056,1919,1,309.4
6072,605,1,213.56
7417,1443,2,94.69
8840,2434,1,280.97
5047,36,3,6703.7
6859,1065,1,217.71
7180,1264,3,2635.1
8165,2000,2,726.3
8288,2083,1,6.85
8743,2366,3,1162.68
9310,2768,1,510.84
5769,437,1,85.4
7656,1634,2,1230
8012,1893,3,243.77
8943,2500,2,552.68
9053,2578,3,81.08
9108,2611,3,27.9
6535,861,3,1447.47
6961,1126,3,435.6
7208,1282,1,266.51
7427,1449,3,5610.4
8191,2017,2,2760.11
9067,2589,1,19.35
9275,2745,1,661.97
9521,2924,3,16419.13
6655,937,3,2195.29
7176,1262,3,669.17
7501,1509,1,223.64
7757,1703,1,222.65
9456,2875,2,3116.6
5186,110,1,125.68
6512,849,3,567.68
6979,1137,3,5.05
8924,2486,1,52.93
9164,2654,2,125.93
5227,130,1,168.07
5687,390,3,1407.88
7020,1163,3,151.78
7351,1389,3,5791.38
7820,1745,3,539.88
8592,2269,3,12452.24
6012,570,1,91.19
6708,970,1,119.23
8002,1887,3,1636.05
8126,1969,3,933.35
6435,808,1,133.14
6792,1019,1,567.65
6821,1035,2,3944.31
5080,54,1,55.58
5429,245,1,316.54
7077,1197,1,115.82
7824,1748,2,285.6
8351,2119,3,218.41
9241,2714,3,3395.29
5073,51,1,184.81
5995,559,3,3251.15
9438,2859,2,134.51
9172,2661,3,2845.26
5409,233,1,165.63
6356,762,3,2836.07
6903,1091,3,729.87
7611,1606,1,63.68
8618,2286,3,1667.79
8251,2056,1,1205.34
8726,2356,1,109.28
5658,372,1,1588.58
6091,615,3,1415.99
6292,727,3,7538.92
6333,751,1,247.17
6398,789,1,61.52
7739,1689,3,1005.41
8400,2152,1,24.9
6342,755,3,772.81
6630,920,3,933.1
6636,924,1,120.87
7096,1211,1,809.3
8192,2018,1,228.29
8306,2093,2,1619.05
6086,612,1,499.4
6099,620,3,316.15
7103,1215,1,1147.39
7752,1700,1,2592.08
8545,2240,1,309.72
9117,2617,2,1068.63
9066,2588,2,273.77
5665,375,3,4218.27
6797,1022,2,97.19
7014,1160,2,1617.32
5614,348,3,579.25
6938,1111,2,291.53
7003,1154,1,10.87
7009,1157,1,27.04
5149,89,3,2403
6405,793,3,5690.18
6994,1148,1,156.35
8296,2087,3,1543.33
8370,2133,1,183.54
8274,2074,2,2064.76
7525,1530,2,6277.96
8031,1903,1,3733.8
9099,2606,3,1839.32
7236,1299,3,861.08
7349,1388,3,4578.11
8356,2122,3,1751.2
9112,2614,1,845.42
9268,2738,3,378.9
7439,1460,2,205.41
7606,1602,1,2256.77
8426,2168,1,266.85
9473,2889,1,5759.93
5962,541,1,108.52
7788,1726,1,607.95
7878,1785,2,1236.49
9003,2540,2,2049.27
9212,2691,2,10.17
6073,605,3,1067.81
9527,2928,2,1032.53
5261,148,1,331.41
6234,698,1,88.93
6264,713,3,469.28
8092,1941,2,277.95
8212,2030,1,97.79
9488,2903,2,530.84
5068,48,1,253.08
5293,164,1,2244.9
6677,951,1,781.24
8146,1984,3,4992.32
9010,2546,3,2114.01
5917,517,3,412.99
6165,657,3,3696.81
6573,883,3,1247.64
6871,1072,3,374.31
6975,1135,1,858.76
7382,1413,2,1647.66
8384,2144,1,772.9
8572,2257,1,268.13
5987,553,3,9468.55
7706,1667,1,154.69
7832,1753,3,2065.77
8004,1889,3,431.1
8207,2027,3,1720.47
5733,418,3,429.55
