Id_Contrato_Descuento,Id_Contrato,Id_Descuento,Importe
345,224,1,0.002
229,155,4,0.005
478,322,3,0.01
13,11,1,0.002
290,188,4,0.005
531,361,3,0.01
77,57,1,0.002
318,203,3,0.01
89,70,3,0.01
156,102,3,0.01
185,115,1,0.002
395,258,1,0.002
403,279,1,0.002
149,97,3,0.01
368,250,1,0.002
276,181,1,0.002
516,353,1,0.002
172,111,1,0.002
515,355,4,0.005
60,36,1,0.002
352,257,2,0.005
362,301,3,0.01
30554,384,1,0.002
66,58,1,0.002
532,360,2,0.005
336,221,3,0.01
30547,383,2,0.005
100,53,4,0.005
249,166,3,0.01
254,186,1,0.002
448,285,2,0.005
503,346,1,0.002
52,49,4,0.005
271,169,3,0.01
335,221,1,0.002
126,76,4,0.005
33,20,3,0.01
316,206,4,0.005
524,357,2,0.005
177,120,3,0.01
205,141,3,0.01
306,204,3,0.01
429,278,4,0.005
511,351,1,0.002
115,96,1,0.002
141,92,4,0.005
198,142,1,0.002
75,55,1,0.002
401,308,1,0.002
439,307,3,0.01
223,151,2,0.005
526,356,1,0.002
3,1,1,0.002
356,236,2,0.005
468,318,3,0.01
146,105,3,0.01
178,125,4,0.005
253,164,3,0.01
343,227,1,0.002
215,154,2,0.005
441,316,3,0.01
333,231,3,0.01
123,134,4,0.005
246,168,1,0.002
495,343,1,0.002
58,40,1,0.002
315,205,3,0.01
502,349,3,0.01
37,26,4,0.005
55,48,4,0.005
394,255,3,0.01
464,326,3,0.01
528,366,2,0.005
232,157,1,0.002
46,33,1,0.002
157,106,1,0.002
303,194,1,0.002
94,59,2,0.005
349,237,2,0.005
207,132,3,0.01
258,202,2,0.005
242,162,1,0.002
327,218,3,0.01
342,234,3,0.01
514,341,4,0.005
155,102,1,0.002
202,143,4,0.005
463,326,1,0.002
