Id_Obra,Clave_Obra,Nombre,Tipo_Precio,Id_Sub_Programa,Id_Localidad,Tipo_Obra_Proyecto,Id_Sub_Tipo_Obra,Id_Oficio_Asignacion_Obra
63,64,PAVIMENTACION DE LA CALLE 16 DE JULIO ( TRAMO: FRAY SABATINO A AV. OLIMPICA ) EN LEON DE LOS ALDAMA,Unitario,1,1,Obra,1,0
64,65,PAVIMENTACION DE LA CALLE MARTINICA (TRAMO: BADAJOZ A PRIVADA BURGOS) LEON DE LOS ALDAMA,Unitario,1,1,Obra,1,0
65,66,PAVIMENTACION DE LA CALLE CAMPO ALEGRE (TRAMO CALLE DEL SOLAR A CALLE RIO DE LOS CASTILLOS) LEON DE,Unitario,1,1,Obra,1,0
66,67,PAVIMENTACION CALLE EGIPTO (TRAMO: CALLE SIRIA - AV. SION) LEON DE LOS ALDAMA,Unitario,1,1,Obra,1,0
67,68,PAVIMENTACION DE LA CALLE AGRA (TRAMO: BANGLADESH A TOPAR CON ARROYO ) LEON DE LOS ALDAMA,Unitario,1,1,Obra,1,0
68,69,PAVIMENTACION DE LA CALLE  VALLE CUREÑO ( TRAMO: VALLE ARIZPE - MADRE TIERRA ) LEON DE LOS ALDAMA,Unitario,1,1,Obra,1,0
69,71,PROYECTO EJECUTIVO DE LAS CALLES: BANGLADESH TRAMO: GANGES A PARQUE LINEAL SARDENETA COL. CAÑON DE L,Unitario,1,1,Obra,1,0
70,61,CONSTRUCCION DE 224 GAVETAS DE ADULTO EN EL PANTEON MUNICIPAL NORTE,Unitario,1,1,Obra,1,0
71,72,PROYECTO EJECUTIVO DE AJUSTRES OPERATIVOS AL CORREDOR TRONCAL MIGUEL HIDALGO SIT OPTIBUS TRAMO:,Unitario,1,1,Obra,1,0
72,74,"PARQUE DE LA SALUD FRACCIONAMIENTO SANTO DOMINGO, EN CALLE RIO MAYO ESQUINA CON FRAY MARTIN DE VALEN",Unitario,1,1,Obra,1,0
73,77,REUBICACION DE COMERCIANTES DE FORMA PROVISIONAL  AL PREDIO ACONDICIONADO PARA MERCADO LA ESPERANZA,Unitario,1,1,Obra,1,0
74,73,PAVIMENTACION DE LA CALLE HADES ( TRAMO: SLALMINA A EROS ) LA ERMITA,Unitario,1,1,Obra,1,0
75,75,PARQUE DE LA SALUD FRACCIONAMIENTO SAN SEBASTIAN CALLE CANARIO ESQUINA CALLE FLAMENCO,Unitario,1,1,Obra,1,0
76,79,MANTENIMIENTO Y MEJORAMIENTO DEL CAMELLON EN BLVD. AEROPUERTO LEON.GTO,Unitario,1,1,Obra,1,0
77,78,PROYECTO AVENIDA RIO DE LOS CASTILLOS TRAMO: CUENCA FLORIDA A AVENIDA SARDANETA COL. LOS CASTILLOS;,Unitario,1,1,Obra,1,0
78,76,ELIMINACION DE GRAFITIS Y APLICAICON DE PINTURA EN BLVD. AEROPUERTO,Unitario,1,1,Obra,1,0
79,80,"VERIFICACION DE CONTROL DE CALIDAD CORRESPONDIENTE PARA EL LABORATORIO VERIFICADOR A LEON, GTO.",Unitario,1,1,Obra,1,0
80,81,"VERIFICACION DE CONTROL DE CALIDAD CORRESPONDIENTE PARA EL LABORATORIO VERIFICADOR B LEON, GTO.",Unitario,1,1,Obra,1,0
81,82,PAVIMENTACION DE LA CALLE MANUEL  CRESENCIO REJON (TRAMO: JOSE A GODOY A JOSE M DE LA TORRE ) LEON D,Unitario,1,1,Obra,1,0
82,83,CICLOVIA JUAREZ NORTE - SUR PRIMERA ETAPA TRAMO BULEVAR JUAN JOSE TORRES LANDA - BULEVAR TIMOTEO LOZ,Unitario,1,1,Obra,1,0
83,84,CONSTRUCCION DE CICLOVIA BLVD. VICENTE VALTIERRA (PRIMERA ETAPA),Unitario,1,1,Obra,1,0
84,88,SUMINISTRO Y COLOCACION DE 725 CALENTADORES SOLARES ZONA URBANA EN LAS COLONIAS: AMPLIACION SAN FRAN,Unitario,1,1,Obra,1,0
85,86,ACTUALIZACION DEL PROYECTO EJECUTIVO DEL BLVD. ARISTOTELES TRAMO: DE BLVD. SAN JUAN BOSCO A BLVD. BA,Unitario,1,1,Obra,1,0
86,87,MEJORAMIENTO DEL ALUMBRADO PUBLICO Y SUSTITUCION DE LUMINARIAS EN BLVD. AEROPUERTO,Unitario,1,1,Obra,1,0
87,89,"REHABILITACION DE SANITARIOS, EN LA PRIMARIA LAZARO CARDENAS CCT 11DPR1036Y",Unitario,1,1,Obra,1,0
