Id_Oficio_Asignacion,Numero_Asignacion,Numero_Oficio_Asignacion,Fecha_Oficio_Asignacion,Id_Contratista,Id_Supervisor_Externo,Id_Supervisor_Interno,Observaciones_Generales,Tipo_Obra_Proyecto,Id_Modalidad,Id_Coordinador,Area
66,DGOP/0052/CONT/2018,DGOP/0052/CONT/2018,Apr 17 2018 12:00AM,640,,89,,Proyecto,1,89,Proyectos
68,DGOP/0060/CONT/2018,DGOP/0060/CONT/2018,Apr 18 2018 12:00AM,302,,72,,Proyecto,1,72,Proyectos
69,DGOP/0061/CONT/2018,DGOP/0061/CONT/2018,Apr 21 2018 12:00AM,42,,59,,Proyecto,1,54,Proyectos
71,DGOP/0063/CONT/2018,DGOP/0063/CONT/2018,Apr 21 2018 12:00AM,584,,80,,Obra,1,80,Construcción
72,DGOP/0064/CONT/2018,DGOP/0064/CONT/2018,Apr 21 2018 12:00AM,55,,80,,Obra,1,80,Construcción
74,DGOP/0066/CONT/2018,DGOP/0066/CONT/2018,Apr 22 2018 12:00AM,636,,80,,Obra,1,80,Construcción
75,DGOP/0067/CONT/2018,DGOP/0067/CONT/2018,Apr 22 2018 12:00AM,522,,80,,Obra,1,80,Construcción
76,DGOP/0633/CONT/2017,DGOP/0633/CONT/2017,May 21 2018 12:00AM,689,,23,,Proyecto,1,23,Proyectos
77,DGOP/CONT/0072/2018,DGOP/CONT/0072/2018,Apr 22 2018 12:00AM,364,,68,,Obra,1,68,Construcción
78,DGOP/0073/CONT/2017,DGOP/0073/CONT/2017,Apr 23 2018 12:00AM,167,,81,,Proyecto,1,81,Proyectos
79,DGOP/522/CONT/2017,DGOP/522/CONT/2017,Nov  5 2017 12:00AM,103,,20,,Proyecto,1,20,Proyectos
80,DGOP/0710/CONT/2017,DGOP/0710/CONT/2017,May 29 2018 12:00AM,531,737,56,,Obra,2,61,Construcción
81,dgop/0712/CONT/2017,dgop/0712/CONT/2017,May 30 2018 12:00AM,74,271,69,,Obra,2,69,Construcción
82,DGOP/0043/CONT/2018,DGOP/0043/CONT/2018,May 30 2018 12:00AM,738,739,56,,Obra,1,54,Construcción
83,DGOP/0045/CONT/2018,DGOP/0045/CONT/2018,May 30 2018 12:00AM,8,,56,,Obra,1,54,Construcción
84,DGOP/0062/CONT/2018,DGOP/0062/CONT/2018,Apr 21 2018 12:00AM,55,,80,,Obra,1,80,Construcción
85,DGOP/0058/CONT/2018,DGOP/0058/CONT/2018,Apr 21 2018 12:00AM,733,,60,,Obra,1,54,Construcción
86,DGOP/0040/CONT/2018,DGOP/0040/CONT/2018,Apr  9 2018 12:00AM,714,151,56,,Obra,1,54,Construcción
87,DGOP/0075/CONT/2018,DGOP/0075/CONT/2018,Apr 24 2018 12:00AM,593,,60,,Obra,1,57,Construcción
88,D/012/2018,D/012/2018,Jun  7 2018 12:00AM,741,,79,,Obra,3,79,Construcción
89,D/010/2018,D/010/2018,Jun  7 2018 12:00AM,127,,68,,Obra,3,68,Construcción
90,DGOP/0030/CONT/2018,DGOP/0030/CONT/2018,Apr  4 2018 12:00AM,677,,81,,Obra,1,81,Construcción
91,D/002-I/2018,D/002-I/2018,Jun  7 2018 12:00AM,166,415,72,,Obra,2,72,Construcción
92,DGOP/0024/2018,DGOP/0024/2018,Apr 24 2018 12:00AM,166,415,72,,Obra,1,72,Construcción
93,DGOP/0041/CONT/2018,DGOP/0041/CONT/2018,Apr  9 2018 12:00AM,42,727,59,,Obra,1,54,Construcción
94,DGOP/0065/CONT/2018,DGOP/0065/CONT/2018,Apr 21 2018 12:00AM,27,,80,,Obra,1,80,Construcción
95,DGOP/0068/CONT/2018,DGOP/0068/CONT/2018,Apr 22 2018 12:00AM,669,358,88,,Obra,1,62,Construcción
96,DGOP/0069/CONT/2018,DGOP/0069/CONT/2018,Apr 22 2018 12:00AM,365,358,88,,Obra,1,62,Construcción
