Id_Estimacion_Amortizacion_Desglose,Id_Estimacion,Id_Contrato_Ampliacion,Concepto,Importe_Contratado,Actual,Anterior,Acumulado,Por_Ejercer,Porcentaje_Anticipo,Importe_Anticipo,Actual_Amortizacion,Anterior_Amortizacion,Acumulado_Amortizacion,Por_Amortizar
101,2006,,CONTRATO,39059362.82,511391.01,35247822.57,35759213.58,3300149.24,30,11717808.85,153417.3,10574346.78,10727764.08,990044.77
102,2006,28,AMPLIACIÓN 1,6940637.18,0,0,0,6940637.18,30,2082191.15,0,0,0,2082191.15
103,2006,78,AMPLIACIÓN 2,6765000.01,0,0,0,6765000.01,50,3382500,0,0,0,3382500
104,2013,,CONTRATO,39059362.82,448247.47,35759213.58,36207461.05,2851901.77,30,11717808.85,134474.24,10727764.08,10862238.32,855570.53
105,2013,28,AMPLIACIÓN 1,6940637.18,0,0,0,6940637.18,30,2082191.15,0,0,0,2082191.15
106,2013,78,AMPLIACIÓN 2,6765000.01,0,0,0,6765000.01,50,3382500,0,0,0,3382500
107,2022,,CONTRATO,39059362.82,2009022.92,36207461.05,38216483.97,842878.85,30,11717808.85,602706.88,10862238.32,11464945.2,252863.65
108,2022,28,AMPLIACIÓN 1,6940637.18,0,0,0,6940637.18,30,2082191.15,0,0,0,2082191.15
109,2022,78,AMPLIACIÓN 2,6765000.01,0,0,0,6765000.01,50,3382500,0,0,0,3382500
110,2148,,CONTRATO,39059362.82,842878.85,38216483.97,39059362.82,0,30,11717808.85,252863.65,11464945.2,11717808.85,0
111,2148,28,AMPLIACIÓN 1,6940637.18,452743.95,0,452743.95,6487893.23,30,2082191.15,0,0,0,2082191.15
112,2148,78,AMPLIACIÓN 2,6765000.01,0,0,0,6765000.01,50,3382500,0,0,0,3382500
113,2250,,CONTRATO,39059362.82,0,39059362.82,39059362.82,0,30,11717808.85,0,11717808.85,11717808.85,0
114,2250,28,AMPLIACIÓN 1,6940637.18,533620.11,452743.95,986364.06,5954273.12,30,2082191.15,0,0,0,2082191.15
115,2250,78,AMPLIACIÓN 2,6765000.01,0,0,0,6765000.01,50,3382500,0,0,0,3382500
116,2265,,CONTRATO,39059362.82,0,39059362.82,39059362.82,0,30,11717808.85,0,11717808.85,11717808.85,0
117,2265,28,AMPLIACIÓN 1,6940637.18,3895382.5,986364.06,4881746.56,2058890.62,30,2082191.15,1328700.78,0,1328700.78,753490.37
118,2265,78,AMPLIACIÓN 2,6765000.01,0,0,0,6765000.01,50,3382500,0,0,0,3382500
119,2285,,CONTRATO,39059362.82,0,39059362.82,39059362.82,0,30,11717808.85,0,11717808.85,11717808.85,0
120,2285,28,AMPLIACIÓN 1,6940637.18,936538.33,4881746.56,5818284.89,1122352.29,30,2082191.15,280961.49,1328700.78,1609662.27,472528.88
121,2285,78,AMPLIACIÓN 2,6765000.01,0,0,0,6765000.01,50,3382500,0,0,0,3382500
122,2412,,CONTRATO,39059362.82,0,39059362.82,39059362.82,0,30,11717808.85,0,11717808.85,11717808.85,0
123,2412,28,AMPLIACIÓN 1,6940637.18,1122352.29,5818284.89,6940637.18,0,30,2082191.15,472528.88,1609662.27,2082191.15,0
124,2412,78,AMPLIACIÓN 2,6765000.01,645308.48,0,645308.48,6119691.53,50,3382500,603615.72,0,603615.72,2778884.28
125,2427,,CONTRATO,39059362.82,0,39059362.82,39059362.82,0,30,11717808.85,0,11717808.85,11717808.85,0
126,2427,28,AMPLIACIÓN 1,6940637.18,0,6940637.18,6940637.18,0,30,2082191.15,0,2082191.15,2082191.15,0
127,2427,78,AMPLIACIÓN 2,6765000.01,5294473.01,645308.48,5939781.49,825218.52,50,3382500,2778884.28,603615.72,3382500,0
128,84,,CONTRATO,4021076.79,39940.89,0,39940.89,3981135.9,30,1206323.04,11982.27,0,11982.27,1194340.77
129,84,15,AMPLIACIÓN 1,930461.87,0,0,0,930461.87,0,0,0,0,0,0
130,85,,CONTRATO,4021076.79,189029.82,39940.89,228970.71,3792106.08,30,1206323.04,56708.95,11982.27,68691.22,1137631.82
131,85,15,AMPLIACIÓN 1,930461.87,0,0,0,930461.87,0,0,0,0,0,0
132,130,,CONTRATO,4021076.79,364897.58,228970.71,593868.29,3427208.5,30,1206323.04,109469.27,68691.22,178160.49,1028162.55
133,130,15,AMPLIACIÓN 1,930461.87,0,0,0,930461.87,0,0,0,0,0,0
134,177,,CONTRATO,4021076.79,459992.94,593868.29,1053861.23,2967215.56,30,1206323.04,137997.88,178160.49,316158.37,890164.67
135,177,15,AMPLIACIÓN 1,930461.87,0,0,0,930461.87,0,0,0,0,0,0
136,307,,CONTRATO,4021076.79,518217.44,1053861.23,1572078.67,2448998.12,30,1206323.04,134021.75,316158.37,450180.12,756142.92
137,307,15,AMPLIACIÓN 1,930461.87,0,0,0,930461.87,0,0,0,0,0,0
138,350,,CONTRATO,4021076.79,586106.01,1572078.67,2158184.68,1862892.11,30,1206323.04,175831.8,450180.12,626011.92,580311.12
139,350,15,AMPLIACIÓN 1,930461.87,0,0,0,930461.87,0,0,0,0,0,0
140,554,,CONTRATO,4021076.79,531519.93,2158184.68,2689704.61,1331372.18,30,1206323.04,159455.98,626011.92,785467.9,420855.14
141,554,15,AMPLIACIÓN 1,930461.87,0,0,0,930461.87,0,0,0,0,0,0
142,649,,CONTRATO,4021076.79,586264.06,2689704.61,3275968.67,745108.12,30,1206323.04,175879.22,785467.9,961347.12,244975.92
143,649,15,AMPLIACIÓN 1,930461.87,0,0,0,930461.87,0,0,0,0,0,0
144,856,,CONTRATO,4021076.79,745108.12,3275968.67,4021076.79,0,30,1206323.04,225765.63,961347.12,1187112.75,19210.29
145,856,15,AMPLIACIÓN 1,930461.87,7443.96,0,7443.96,923017.91,0,0,0,0,0,0
146,982,,CONTRATO,4021076.79,0,4021076.79,4021076.79,0,30,1206323.04,19210.29,1187112.75,1206323.04,0
147,982,15,AMPLIACIÓN 1,930461.87,407940.11,7443.96,415384.07,515077.8,0,0,0,0,0,0
148,987,,CONTRATO,4021076.79,0,4021076.79,4021076.79,0,30,1206323.04,0,1206323.04,1206323.04,0
149,987,15,AMPLIACIÓN 1,930461.87,515077.11,415384.07,930461.18,0.69,0,0,0,0,0,0
150,454,,CONTRATO,4855033.84,126732.35,0,126732.35,4728301.49,48,2333001.61,38019.71,0,38019.71,2294981.9
151,505,,CONTRATO,4855033.84,207100.5,126732.35,333832.85,4521200.99,48,2333001.61,62130.15,38019.71,100149.86,2232851.75
152,822,,CONTRATO,4855033.84,83567.25,333832.85,417400.1,4437633.74,48,2333001.61,25070.18,100149.86,125220.04,2207781.57
153,1035,,CONTRATO,4855033.84,40596.18,417400.1,457996.28,4397037.56,48,2333001.61,19486.17,125220.04,144706.21,2188295.4
154,1042,,CONTRATO,4855033.84,237465.47,457996.28,695461.75,4159572.09,48,2333001.61,113983.43,144706.21,258689.64,2074311.97
155,1067,,CONTRATO,4855033.84,89794.66,695461.75,785256.41,4069777.43,48,2333001.61,43101.44,258689.64,301791.08,2031210.53
156,1222,,CONTRATO,4855033.84,165446.28,785256.41,950702.69,3904331.15,48,2333001.61,79414.21,301791.08,381205.29,1951796.32
157,1225,,CONTRATO,4855033.84,189595.64,950702.69,1140298.33,3714735.51,48,2333001.61,91005.91,381205.29,472211.2,1860790.41
158,1302,,CONTRATO,4855033.84,30865.6,1140298.33,1171163.93,3683869.91,48,2333001.61,14815.49,472211.2,487026.69,1845974.92
159,1368,,CONTRATO,4855033.84,5245.95,1171163.93,1176409.88,3678623.96,48,2333001.61,2518.06,487026.69,489544.75,1843456.86
160,1453,,CONTRATO,4855033.84,4508.07,1176409.88,1180917.95,3674115.89,48,2333001.61,2163.87,489544.75,491708.62,1841292.99
161,1459,,CONTRATO,4855033.84,147694.95,1180917.95,1328612.9,3526420.94,48,2333001.61,70893.58,491708.62,562602.2,1770399.41
162,1652,,CONTRATO,4855033.84,138560.98,1328612.9,1467173.88,3387859.96,48,2333001.61,66509.27,562602.2,629111.47,1703890.14
163,1653,,CONTRATO,4855033.84,50831.5,1467173.88,1518005.38,3337028.46,48,2333001.61,24399.12,629111.47,653510.59,1679491.02
