Id_Estimacion_Deduccion,Id_Estimacion,Id_Descuento,Monto_Deduccion
1602,441,2,1919.42
1603,442,1,399.42
1604,442,3,1997.12
1605,443,1,219.77
1606,443,3,1098.83
1607,444,1,9.76
1608,444,3,48.79
1609,445,1,6.11
1610,445,3,30.57
1611,446,1,40.6
1612,446,3,202.98
1613,447,1,8.73
1614,447,3,43.64
1615,448,1,9.27
1616,448,3,46.36
1617,449,1,30.75
1618,449,3,153.74
1619,450,1,113.52
1620,450,3,567.58
1621,451,1,127.75
1622,451,3,638.75
1623,452,1,233.72
1624,452,3,1168.6
1625,453,1,138.4
1626,453,3,692.01
1627,454,1,94.64
1628,454,3,473.2
1629,455,1,579.03
1630,455,3,2895.14
1631,456,1,186.21
1632,456,3,931.03
1633,457,1,664.21
1634,457,3,3321.07
1635,458,1,314.52
1636,458,3,1572.58
1637,460,1,297.44
1638,460,3,1487.21
1639,461,1,586.34
1640,461,3,2931.7
1641,462,1,1744.01
1642,462,3,8720.07
1643,463,1,1325.91
1644,463,3,6629.55
1645,464,1,472.49
1646,464,3,2362.45
1647,465,1,25.32
1648,465,3,126.62
1649,466,1,72.01
1650,466,3,360.06
1651,467,1,10.24
1652,467,3,51.2
1653,468,1,292.75
1654,468,3,1463.74
1655,469,1,536.05
1656,469,3,2680.25
1657,470,1,381.39
1658,470,3,1906.97
1659,474,1,845.59
1660,474,3,4227.95
1661,477,1,739.17
1662,477,3,3695.83
1663,478,1,155.33
1664,478,3,776.64
1665,480,1,138.18
1666,480,3,690.92
1667,481,1,548.07
1668,481,3,2740.35
1669,482,1,300.72
1670,482,3,1503.6
1671,483,1,76.78
1672,483,3,383.89
1673,484,1,802.33
1674,484,3,4011.67
1675,489,1,233.1
1676,489,3,1165.51
1677,490,1,61.95
1678,490,3,309.75
1679,491,1,119.1
1680,491,3,595.52
1681,492,1,48.73
1682,492,3,243.66
1683,493,1,296.82
1684,493,3,1484.09
1685,494,1,648.42
1686,494,3,3242.1
1687,495,1,549.44
1688,495,3,2747.18
1689,496,1,231.25
1690,496,3,1156.26
1691,497,1,149.7
1692,497,3,748.52
1693,498,1,1342.41
1694,498,3,6712.05
1695,499,1,473.45
1696,499,3,2367.26
1697,501,1,322.37
1698,501,3,1611.84
1699,502,1,262.51
1700,502,3,1312.53
1701,503,1,331.51
1702,503,3,1657.56
1703,504,1,211.96
1704,504,3,1059.8
1705,505,1,200.24
1706,505,3,1001.18
1707,507,1,1311.3
1708,507,3,6556.51
1713,516,1,166.78
1714,516,3,833.91
1715,517,1,655.94
1716,517,3,3279.71
1717,518,1,1438.12
1718,518,3,7190.62
1719,519,1,160.51
1720,519,3,802.57
1721,521,1,1340.11
1722,521,3,6700.56
1723,523,1,160.68
1724,523,3,803.4
1725,524,1,320.24
1726,524,3,1601.2
1727,525,1,281.9
1728,525,3,1409.51
1729,526,1,22.19
1730,526,3,110.94
1731,527,1,1206.46
1732,527,3,6032.28
1733,528,1,3539.79
1734,528,3,17698.95
1735,529,1,457.91
1736,529,3,2289.55
1737,530,1,174.5
1738,530,3,872.49
1739,531,1,258.43
1740,531,3,1292.14
1741,535,1,58.58
1742,535,3,292.89
1743,536,1,802.05
