Id_Contrato_Fianza,Id_Contrato,Id_Fianza,Numero_Fianza,Fecha_Emision,Fecha_Recepcion,Nombre_Afianzadora,Fecha_Liberacion,Id_Contrato_Ampliacion,Descripcion_Fianza,Importe_Fianza,
72,42,1,88288663,18/05/2016 00:00,18/05/2016 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,18/05/2017 00:00,,ANTICIPO,86298.47,
73,43,2,1709348,18/05/2016 00:00,18/05/2016 00:00,"PRIMERO FIANZAS, S.A. DE C.V.",18/05/2017 00:00,,CUMPLIMIENTO,23299.65,
74,43,1,1709349,18/05/2016 00:00,18/05/2016 00:00,"PRIMERO FIANZAS, S.A. DE C.V.",18/05/2017 00:00,,ANTICIPO,69898.96,
75,44,2,1709348,18/05/2016 00:00,18/05/2016 00:00,"PRIMERO FIANZAS, S.A. DE C.V.",18/05/2017 00:00,,CUMPLIMIENTO,23299.65,
76,44,1,1709349,18/05/2016 00:00,18/05/2016 00:00,"PRIMERO FIANZAS, S.A. DE C.V.",18/05/2017 00:00,,ANTICIPO,69898.96,
77,45,2,III-487507-RC,18/05/2016 00:00,18/05/2016 00:00,FIANZAS ATLAS S.A.,18/05/2017 00:00,,CUMPLIMIENTO,18869.83,
78,45,1,III-487505-RC,18/05/2016 00:00,18/05/2016 00:00,FIANZAS ATLAS S.A.,18/05/2017 00:00,,ANTICIPO,56609.5,
79,46,2,III-487507-RC,18/05/2016 00:00,18/05/2016 00:00,FIANZAS ATLAS S.A.,18/05/2017 00:00,,CUMPLIMIENTO,18869.83,
80,46,1,III-487505-RC,18/05/2016 00:00,18/05/2016 00:00,FIANZAS ATLAS S.A.,18/05/2017 00:00,,ANTICIPO,56609.5,
81,48,2,1693455,23/05/2016 00:00,23/05/2016 00:00,"PRIMERO FIANZAS, S.A. DE C.V.",23/05/2017 00:00,,CUMPLIMIENTO,29459.06,
82,49,2,1693455,23/05/2016 00:00,23/05/2016 00:00,PRIMERO FIANZAS S.A. DE C.V.,23/05/2017 00:00,,CUMPLIMIENTO,29459.06,
83,50,2,1994748,23/05/2016 00:00,23/05/2016 00:00,AFIANZADORA SOFIMEX S.A.,23/05/2017 00:00,,CUMPLIMIENTO,36624.05,
84,50,1,1994743,23/05/2016 00:00,23/05/2016 00:00,AFIANZADORA SOFIMEX S.A.,23/05/2017 00:00,,ANTICIPO,108972.16,
85,51,2,1994748,23/05/2016 00:00,23/05/2016 00:00,AFIANZADORA SOFIMEX S.A.,23/05/2017 00:00,,CUMPLIMIENTO,36324.05,
86,51,1,1994743,23/05/2016 00:00,23/05/2016 00:00,AFIANZADORA SOFIMEX S.A.,23/05/2017 00:00,,ANTICIPO,108972.16,
87,52,2,1708594,26/05/2016 00:00,26/05/2016 00:00,ACE FIANZAS MONTERREY S.A.,26/05/2017 00:00,,CUMPLIMIENTO,542028.06,
88,52,1,1708593,26/05/2016 00:00,26/05/2016 00:00,ACE FIANZAS MONTERREY S.A.,26/05/2017 00:00,,ANTICIPO,1626084.18,
89,53,2,1708747,26/05/2016 00:00,26/05/2016 00:00,"ACE FIANZAS MONTERREY, S.A.",26/05/2017 00:00,,CUMPLIMIENTO,306157.58,
90,53,1,1708744,26/05/2016 00:00,26/05/2016 00:00,"ACE FIANZAS MONTERREY, S.A.",26/05/2017 00:00,,ANTICIPO,918472.75,
91,54,2,1709852,26/05/2016 00:00,26/05/2016 00:00,"ACE FIANZAS MONTERREY, S.A.",26/05/2017 00:00,,CUMPLIMIENTO,124232.35,
92,54,1,1709847,26/05/2016 00:00,26/05/2016 00:00,"ACE FIANZAS MONTERREY, S.A.",26/05/2017 00:00,,ANTICIPO,372697.06,
93,55,2,88289911,27/05/2016 00:00,27/05/2016 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,27/05/2017 00:00,,CUMPLIMIENTO,94886.68,
94,55,1,88289912,27/05/2016 00:00,27/05/2016 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,27/05/2017 00:00,,ANTICIPO,284660.07,
95,56,2,1695278,27/05/2016 00:00,27/05/2016 00:00,PRIMERO FIANZAS S.A. DE C.V.,27/05/2017 00:00,,CUMPLIMIENTO,65995.18,
96,56,1,1635546,27/05/2016 00:00,27/05/2016 00:00,PRIMERO FIANZAS S.A. DE C.V.,27/05/2017 00:00,,ANTICIPO,197985.55,
97,57,2,88289462,27/05/2016 00:00,27/05/2016 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,27/05/2017 00:00,,CUMPLIMIENTO,99994.49,
98,57,1,88289460,27/05/2016 00:00,27/05/2016 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,27/05/2017 00:00,,ANTICIPO,299983.46,
99,104,2,88290050,06/06/2016 00:00,06/06/2016 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,06/06/2017 00:00,,CUMPLIMIENTO,34830.98,
100,104,1,88290049,06/06/2016 00:00,06/06/2016 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,06/06/2017 00:00,,ANTICIPO,104492.94,
101,58,2,10083-00293-8,01/06/2016 00:00,01/06/2016 00:00,"AFIANZADORA INSURGENTES, S.A.",01/06/2017 00:00,,CUMPLIMIENTO,79993.83,
102,58,1,10083-00291-0,01/06/2016 00:00,01/06/2016 00:00,"AFIANZADORA INSURGENTES, S.A.",01/06/2017 00:00,,ANTICIPO,239981.5,
103,69,2,1999126,03/06/2016 00:00,03/06/2016 00:00,AFIANZADORA SOFIMEX S.A.,03/06/2017 00:00,,CUMPLIMIENTO,214817.91,
104,69,1,1999081,03/06/2016 00:00,03/06/2016 00:00,AFIANZADORA SOFIMEX S.A.,03/06/2017 00:00,,ANTICIPO,644453.71,
