Id_Fuera_Catalogo,Id_Contrato,Fecha_Registro,Fecha_Ultima_Autorizada,Fecha_Instruccion_Bitacora,Numero_Oficio_Autorizacion,Fecha_Oficio_Autorizacion,Observaciones,Estatus
483,123,17/11/2016 13:47,14/02/2017 00:00,25/10/2016 00:00,573/2016,11/11/2016 00:00,AUTORIZADO,TÉRMINADO
484,184,17/11/2016 13:56,12/11/2016 00:00,19/10/2016 00:00,575/2016,04/11/2016 00:00,AUTORIZADO,TÉRMINADO
485,155,17/11/2016 14:11,24/10/2016 00:00,20/10/2016 00:00,577/2016,10/11/2016 00:00,AUTORIZADO,TÉRMINADO
486,156,17/11/2016 14:12,24/10/2016 00:00,20/10/2016 00:00,578/2016,10/11/2016 00:00,AUTORIZADO,TÉRMINADO
487,157,17/11/2016 14:13,24/10/2016 00:00,20/10/2016 00:00,579/2016,10/11/2016 00:00,AUTORIZADO,TÉRMINADO
488,140,17/11/2016 14:38,23/10/2016 00:00,29/09/2016 00:00,580/2016,07/11/2016 00:00,AUTORIZADO,TÉRMINADO
489,181,17/11/2016 15:41,26/10/2016 00:00,15/10/2016 00:00,581/2016,21/10/2016 00:00,AUTORIZADO,TÉRMINADO
490,150,17/11/2016 15:44,29/10/2016 00:00,24/10/2016 00:00,582/2016,04/11/2016 00:00,AUTORIZADO,TÉRMINADO
491,148,18/11/2016 09:54,27/10/2016 00:00,24/10/2016 00:00,583/2016,28/10/2016 00:00,AUTORIZADO,TÉRMINADO
492,114,18/11/2016 14:09,01/10/2016 00:00,25/09/2016 00:00,584/2016,03/10/2016 00:00,AUTORIZADO,TÉRMINADO
493,78,18/11/2016 14:18,22/10/2016 00:00,18/10/2016 00:00,585/2016,17/11/2016 00:00,AUTORIZADO,TÉRMINADO
494,128,18/11/2016 14:25,28/10/2016 00:00,12/10/2016 00:00,586/2016,18/11/2016 00:00,AUTORIZADO,TÉRMINADO
495,103,18/11/2016 14:41,29/10/2016 00:00,25/10/2016 00:00,587/2016,17/11/2016 00:00,AUTORIZADO,TÉRMINADO
496,103,18/11/2016 14:42,29/10/2016 00:00,25/10/2016 00:00,588/2016,17/11/2016 00:00,AUTORIZADO,TÉRMINADO
497,77,22/11/2016 10:10,19/11/2016 00:00,14/09/2016 00:00,589/2016,23/09/2016 00:00,AUTORIZADO,TÉRMINADO
