Id_Contrato_Ampliacion,Id_Contrato,Numero_Ampliacion,Fecha_Firma_Ampliacion,Fecha_Inicio,Fecha_Termino,Importe,Porcentaje_Anticipo,Importe_Anticipo,Id_Formato_Ampliacion,Id_Presupuesto
4,53,1,20/05/2010 00:00,20/05/2010 00:00,31/05/2010 00:00,199372.74,0,0,1,130
32,67,1,30/07/2010 00:00,30/07/2010 00:00,31/12/2010 00:00,470585.53,0,0,1,100
88,365,1,15/12/2010 00:00,15/12/2010 00:00,05/03/2011 00:00,488597.15,0,0,1,483
161,550,1,15/04/2011 00:00,15/04/2011 00:00,13/07/2011 00:00,3999997.06,30,1199999.12,1,720
5,16,1,09/07/2010 00:00,09/07/2010 00:00,20/07/2010 00:00,254207.47,0,0,1,46
87,424,1,13/12/2010 00:00,13/12/2010 00:00,31/12/2010 00:00,2319730.12,0,0,1,566
170,540,2,14/05/2011 00:00,14/05/2011 00:00,30/07/2011 00:00,450070.23,0,0,1,629
54,62,2,09/09/2010 00:00,09/09/2010 00:00,31/12/2010 00:00,639887.26,0,0,1,108
149,262,1,31/12/2010 00:00,31/12/2010 00:00,22/01/2011 00:00,222567.16,0,0,1,
202,77,1,20/08/2012 00:00,20/08/2012 00:00,19/09/2012 00:00,79223.36,0,0,1,162
41,60,2,09/09/2010 00:00,09/09/2010 00:00,31/12/2010 00:00,376469.93,0,0,1,124
115,192,1,31/12/2010 00:00,31/12/2010 00:00,31/03/2011 00:00,503540,0,0,1,291
158,449,1,26/02/2011 00:00,26/02/2011 00:00,20/03/2011 00:00,39341.68,0,0,1,607
14,50,1,30/07/2010 00:00,30/07/2010 00:00,31/08/2010 00:00,94117.48,0,0,1,113
123,316,1,01/11/2010 00:00,01/11/2010 00:00,06/11/2010 00:00,67997.44,0,0,1,451
36,176,1,20/09/2010 00:00,20/09/2010 00:00,18/10/2010 00:00,419599.61,0,0,1,306
53,44,2,09/09/2010 00:00,09/09/2010 00:00,31/12/2010 00:00,376469.93,0,0,1,56
125,321,1,07/02/2011 00:00,07/02/2011 00:00,12/03/2011 00:00,1228736.75,0,0,1,490
102,232,1,30/11/2010 00:00,30/11/2010 00:00,18/12/2010 00:00,600523.82,0,0,1,323
165,339,1,22/03/2011 00:00,22/03/2011 00:00,23/04/2011 00:00,672477.48,0,0,1,500
74,123,1,06/11/2010 00:00,06/11/2010 00:00,27/11/2010 00:00,132869.9,0,0,1,188
31,121,1,13/07/2010 00:00,13/07/2010 00:00,28/08/2010 00:00,1243080.6,0,0,1,173
