Id_Contrato,Id_Presupuesto,Numero_Contrato,Nombre_Final,Importe,Porcentaje_Anticipo,Importe_Anticipo,Fecha_Firma_Contrato,Fecha_Inicio,Fecha_Termino,Id_Formato_Contrato,Id_Formato_Caratula,Id_Formato_Hoja_Estimaciones,Observaciones,Estatus,Año,Id_Contratista,Id_Supervisor_Interno,Id_Supervisor_Externo,Id_Fuente_Inversion,Fecha_Adjudicacion,Id_Modalidad,Numero_Licitacion,Leyenda_Oficial,Id_Oficio_Asignacion_Obra,Id_Numero_Contrato_Pertenece
507,675,A-2510-315-6101-H/0501/2010,PROYECTO EJECUTIVO DE PAVIMENTACION DE LAS CALLES: PASEO DE LOS CUERVOS TRAMO: BLVD. SAN PEDRO - PASEO DE LOS VERDINES COL. SAN ISIDRO DE JEREZ; BUGAMBILIAS TRAMO: PASEO DE JEREZ - ARROYO DE LAS LIEBRES COL. JARDINES DE JEREZ,156526.49,0,0,16/12/2010 00:00,27/12/2010 00:00,19/03/2011 00:00,1,1,1,,EJECUCION,2010,448,,,1,16/12/2010 00:00,1,,NULL,0,NULL
508,662,A-2510-315-6101-H/0491/2010,PROYECTO EJECUTIVO DEL BLVD. JOSE MARIA MORELOS EN EL TRAMO: DE BLVD. CLOUTHIER A BLVD. INSURGENTES LEON,1813208.08,30,543962.42,15/12/2010 00:00,27/12/2010 00:00,11/06/2011 00:00,1,1,1,,EJECUCION,2010,419,,,1,15/12/2010 00:00,1,,NULL,0,NULL
509,685,A-2510-315-6101-H/0510/2010,"PROYECTO EJECUTIVO DE PAVIMENTACION DE LAS CALLES: MURALLA TRAMO: PLAZA DEL PEÑON - AV. PRADERA; CANTERA TRAMO: CIMA - CERDEÑA Y PRIVADA DE LA FUENTE TRAMO: DE LA FUENTE - DE LA FUENTE, COL. PARQUE MANZANAREZ",262422.95,30,78726.89,20/12/2010 00:00,03/01/2011 00:00,26/03/2011 00:00,1,1,1,,EJECUCION,2010,306,,,1,20/12/2010 00:00,1,,NULL,0,NULL
510,687,A-2510-315-6101-H/0512/2010,PROYECTO EJECUTIVO DE PAVIMENTACION DE LAS CALLES: VILLAS DE MARIA TRAMO: VILLAS VERONICA A VILLAS DEL ROCIO; VILLAS DE XOCHITL TRAMO: VILLAS VERONICA A VILLAS DEL ROCIO; VILLAS DE OBDULIA TRAMO: AV. HACIENDAS DE LEON - VILLAS DE XOCHITL; VILLAS DE YOLANDA TRAMO: AV. HACIENDAS DE LEON - VILLAS XOCHITL COL. VILLAS DEL ROCIO; Y CALLE BRISAS DE SAN CAMILO TRAMO: BRISAS DE SAN CARLOS A VILLA DE SAN JUAN; BRISAS DE SAN DANIEL TRAMO: BRISAS DE SAN CARLOS A VILLA DE SAN JUAN; BRISAS DE SAN AURELIO TRAMO: BRISAS DE SAN CARLOS A VILLA DE SAN JUAN; COL. BRISAS DE SAN FRANCISCO,475737.74,30,142721.32,20/12/2010 00:00,03/01/2011 00:00,26/03/2011 00:00,1,1,1,,EJECUCION,2010,89,,,1,20/12/2010 00:00,1,,NULL,0,NULL
511,654,A-2510-315-6101-H/0483/2010,PROYECTO EJECUTIVO DE PAVIMENTACION DE LAS CALLES: HELIO TRAMO: BLVD. REBOCEROS - COBRE; ESTAÑO TRAMO: BLVD. REBOCEROS - COBRE; URANIO TRAMO: BLVD. HIDALGO - BLVD. HERMENEGILDO BUSTOS Y CALLE PLATINO TRAMO: BLVD. HIDALGO - BLVD. HERMENEGILDO BUSTOS COL. VILLAS DE ECHEVESTE.,323809.62,30,97142.89,16/12/2010 00:00,03/01/2011 00:00,26/03/2011 00:00,1,1,1,,EJECUCION,2010,449,,,1,16/12/2010 00:00,1,,NULL,0,NULL
512,695,A-2510-309-6101-D/0519/2010,PAVIMENTACION DE LA CALLE VICENTE SUAREZ TRAMO: DE MALECON DEL RIO DE LOS GOMEZ A BLVD. HIDALGO COL. HEROES DE CHAPULTEPEC,1764822.48,30,529446.74,20/12/2010 00:00,03/01/2011 00:00,16/04/2011 00:00,1,1,1,,EJECUCION,2010,395,,,1,20/12/2010 00:00,1,,NULL,0,NULL
513,705,A-2510-309-6101-D/0529/2010,PAVIMENTACION DE LA CALLE SANTO DOMINGO TRAMO: PAV. EXISTENTE SUR - ZACATECAS COL. OBRERA,63769.93,0,0,23/12/2010 00:00,03/01/2011 00:00,22/01/2011 00:00,1,1,1,,EJECUCION,2010,43,,,1,23/12/2010 00:00,1,,NULL,0,NULL
514,661,A-2510-309-6101-D/0490/2010,PAVIMENTACION DE LA CALLE YUCATAN TRAMO: DE CALLE SANTO DOMINGO A PAVIMENTO ORIENTE COL. OBRERA,123683.05,0,0,15/12/2010 00:00,27/12/2010 00:00,05/02/2011 00:00,1,1,1,,EJECUCION,2010,43,,,1,15/12/2010 00:00,1,,NULL,0,NULL
515,653,A-2510-315-6101-H/0482/2010,PROYECTO EJECUTIVO DE PAVIMENTACION DE LAS CALLES: TEJOCOTE TRAMO: BLVD. CEREZA - BLVD. AGUACATE COL. LAS MANDARINAS; MAMEY TRAMO: BLVD. CEREZA - BLVD. AGUACATE; JICAMA TRAMO: BLVD. CEREZA - CALLEJON SIN NOMBRE Y CALLE MELOCOTON TRAMO: BLVD. CEREZA - BLVD. AGUACATE COL. LAS MANDARINAS,375974.63,0,0,16/12/2010 00:00,27/12/2010 00:00,19/03/2011 00:00,1,1,1,,EJECUCION,2010,309,,,1,16/12/2010 00:00,1,,NULL,0,NULL
516,690,A-2510-315-6101-H/0515/2010,PROYECTO EJECUTIVO DE LA PAVIMENTACION DE LAS CALLES: FRAY ANGEL TRAMO: FRAY RAMON - FRAY RUFINO; FRAY JORGE TRAMO: FRAY RAMON - FRAY VICTOR; FRAY MORICO TRAMO: FRAY RUFINO - FRAY FELIPE; FRAY GIL TRAMO: FRAY RUFINO - FRAY FELIPE; FRAY FELIPE TRAMO: AV. OLIMPICA - FRAY MARTIN CABALLERO; FRAY VICTOR TRAMO: AV. OLIMPICA - FRAY MARTIN CABALLERO; Y FRAY RAMON TRAMO: AV. OLIMPICA - FRAY NOE CABALLERO COL. AMPLIACION SAN FRANCISCO.,541722.82,30,162516.85,20/12/2010 00:00,03/01/2011 00:00,26/03/2011 00:00,1,1,1,,EJECUCION,2010,371,,,1,20/12/2010 00:00,1,,NULL,0,NULL
