Id_Presupuesto,Id_Obra,Nombre,Tipo_Presupuesto,Id_Modalidad,Fecha_Adjudicacion,Id_Presupuesto_Pertenece,Clave,Numero_Ampliacion
42,3,A-2510-307-6101-C/0036/2010  REHABILITACION DE LOS PAVIMENTOS EN LA ZONA NOR PONIENTE DE LA CIUDAD LEON,ORIGINAL,1,01/03/2010 00:00,,0,0
43,22,A-2510-307-6101-C/0037/2010  REHABILITACION DE LOS PAVIMENTOS EN LA ZONA NOR ORIENTE DE LA CIUDAD LEON,ORIGINAL,1,01/03/2010 00:00,,0,0
44,5,A-2510-307-6101-C/0038/2010  REHABILITACION DE LOS PAVIMENTOS EN LA ZONA SUR ORIENTE DE LA CIUDAD,ORIGINAL,1,01/03/2010 00:00,,0,0
45,16,B-5051-236-7101-D/0039/2010  PAVIMENTACION DE LA CALLE ALONSO ESPINO TRAMO: CALLE BERNARDO CHAVEZ A RIO USUMACINTA COL. LOS FRESNOS,ORIGINAL,1,02/03/2010 00:00,,0,0
46,16,AMPLIACION 1,AMPLIACION,1,02/03/2010 00:00,45,1,1
47,39,"A-2510-307-6101-D/0040/2010  SUBESTACION DE 45 KVA PARA LA BASE DE SEGURIDAD DEL ESTADO UBICADA EN LA CARRETERA LEON - SAN FRANCISCO DEL RINCON LADO PONIENTE 500 MTS. ANTES DEL CRUCE CON LA CARRETERA LEON - AGUASCALIENTES, LEON",ORIGINAL,1,02/03/2010 00:00,,0,0
48,35,"H-2510-904-6902-D/0041/2010  BLVD. DELTA EN EL TRAMO: DE LA VIALIDAD DEL EJE METROPOLITANO, DEL BLVD. JUAN ALONSO DE TORRES A BLVD. AEROPUERTO ( QUINTA ETAPA TRAMO DE CALLE VIA DE LOS GIRASOLES A AV. OLIMPICA ) LEON",ORIGINAL,1,08/03/2010 00:00,,0,0
49,40,"E-2310-702-6201-G/0042/10  MANTENIMIENTO INTEGRAL DE PARQUES Y JARDINES PARA LA ZONA URBANA I LEON, GTO",ORIGINAL,1,10/03/2010 00:00,,0,0
50,40,AMPLIACION 1,AMPLIACION,1,10/03/2010 00:00,49,1,1
51,40,AMPLIACION 2,AMPLIACION,1,10/03/2010 00:00,49,2,2
