Id_Oficio_Asignacion,Año,Numero_Asignacion,Numero_Oficio_Asignacion,Fecha_Oficio_Asignacion,Id_Contratista,Id_Supervisor_Externo,Id_Supervisor_Interno,Observaciones_Generales,Tipo_Obra_Proyecto,Id_Modalidad,Id_Coordinador,Area
0000000183,2018,DGOP/0153/CONT/2018,DGOP/0153/CONT/2018,2018-06-07 00:00:00,0000000287,,0000000086,,Obra,0000000001,0000000086,Construcción
0000000184,2018,DGOP/0154/CONT/2018,DGOP/0154/CONT/2018,2018-06-20 00:00:00,0000000653,,0000000086,,Obra,0000000001,0000000086,Construcción
0000000185,2018,DGOP/0155/CONT/2018,DGOP/0155/CONT/2018,2018-06-20 00:00:00,0000000653,,0000000086,,Obra,0000000001,0000000086,Construcción
0000000186,2018,DGOP/0156/CONT/2018,DGOP/0156/CONT/2018,2018-07-23 00:00:00,0000000460,,0000000058,,Obra,0000000001,0000000054,Construcción
0000000187,2018,DGOP/0157/CONT/2018,DGOP/0157/CONT/2018,2018-06-20 00:00:00,0000000151,,0000000075,,Obra,0000000001,0000000075,Proyectos
0000000188,2018,DGOP/0158/CONT/2018,DGOP/0158/CONT/2018,2018-06-20 00:00:00,0000000505,,0000000072,,Obra,0000000001,0000000072,Construcción
0000000189,2018,DGOP/0159/CONT/2018,DGOP/0159/CONT/2018,2018-06-20 00:00:00,0000000514,0000000748,0000000053,,Obra,0000000001,0000000053,Construcción
0000000190,2018,DGOP/0160/CONT/2018,DGOP/0160/CONT/2018,2018-06-20 00:00:00,0000000094,,0000000089,,Obra,0000000001,0000000089,Proyectos
0000000191,2018,DGOP/0161/CONT/2018,DGOP/0161/CONT/2018,2018-06-20 00:00:00,0000000289,0000000696,0000000058,,Obra,0000000001,0000000061,Construcción
0000000192,2018,DGOP/0162/CONT/2018,DGOP/0162/CONT/2018,2018-06-20 00:00:00,0000000178,0000000403,0000000055,,Obra,0000000001,0000000061,Construcción
0000000193,2018,DGOP/0163/CONT/2018,DGOP/0163/CONT/2018,2018-06-20 00:00:00,0000000612,,0000000055,,Obra,0000000001,0000000055,Construcción
0000000194,2018,DGOP/0164/CONT/2018,DGOP/0164/CONT/2018,2018-07-24 00:00:00,0000000516,0000000403,0000000088,,Obra,0000000001,0000000061,Construcción
0000000195,2018,DGOP/0165/CONT/2018,DGOP/0165/CONT/2018,2018-06-20 00:00:00,0000000543,0000000760,0000000058,,Obra,0000000001,0000000061,Construcción
0000000196,2018,DGOP/0166/CONT/2018,DGOP/0166/CONT/2018,2018-06-20 00:00:00,0000000661,0000000529,0000000053,,Obra,0000000001,0000000053,Construcción
0000000197,2018,DGOP/0167/CONT/2018,DGOP/0167/CONT/2018,2018-06-20 00:00:00,0000000505,,0000000072,,Obra,0000000001,0000000072,Construcción
0000000198,2018,DGOP/0168/CONT/2018,DGOP/0168/CONT/2018,2018-06-20 00:00:00,0000000073,,0000000080,,Obra,0000000001,0000000080,Construcción
0000000199,2018,DGOP/0169/CONT/2018,DGOP/0169/CONT/2018,2018-06-20 00:00:00,0000000073,,0000000080,,Obra,0000000001,0000000080,Construcción
0000000200,2018,DGOP/0170/CONT/2018,DGOP/0170/CONT/2018,2018-06-20 00:00:00,0000000073,,0000000080,,Obra,0000000001,0000000080,Construcción
0000000201,2018,DGOP/0171/CONT/2018,DGOP/0171/CONT/2018,2018-06-20 00:00:00,0000000073,,0000000080,,Obra,0000000001,0000000080,Construcción
0000000202,2018,DGOP/0172/CONT/2018,DGOP/0172/CONT/2018,2018-06-20 00:00:00,0000000073,,0000000080,,Obra,0000000001,0000000080,Construcción
0000000203,2018,DGOP/0173/CONT/2018,DGOP/0173/CONT/2018,2018-06-20 00:00:00,0000000516,,0000000057,,Obra,0000000001,0000000057,Construcción
0000000204,2018,DGOP/0174/CONT/2018,DGOP/0174/CONT/2018,2018-06-20 00:00:00,0000000761,,0000000055,,Obra,0000000001,0000000055,Construcción
0000000205,2018,DGOP/0175/CONT/2018,DGOP/0175/CONT/2018,2018-06-20 00:00:00,0000000761,,0000000055,,Obra,0000000001,0000000055,Construcción
0000000206,2018,DGOP/0176/CONT/2018,DGOP/0176/CONT/2018,2018-06-20 00:00:00,0000000543,,0000000055,,Obra,0000000001,0000000055,Construcción
