Id_Recalendarizacion,Id_Contrato,No_Recalendarizacion,Tipo_Recalendarizacion,Fecha_Deposito,Dias_Recorrer,Fecha_Inicio_Recalendarizacion,Fecha_Termino_Recalendarizacion,Numero_Oficio_Contratista,Fecha_Oficio_Contratista,Numero_Oficio_Autorizacion,Fecha_Oficio_Autorizacion,Observaciones,Fecha_Inicio_Ultima_Anterior,Fecha_Termino_Ultima_Anterior
0000000065,0000000141,1,ANTICIPO,2018-07-06 00:00:00,40,2018-07-07 00:00:00,2018-09-27 00:00:00,S/N RECAL ,2018-07-13 00:00:00,DGOP/DAyCFO/048/2018,2018-07-20 00:00:00,K 23/07/2018,2018-05-28 00:00:00,2018-08-18 00:00:00
0000000066,0000000139,1,ANTICIPO,2018-07-06 00:00:00,42,2018-07-09 00:00:00,2018-09-29 00:00:00,S/N RECAL,2018-07-13 00:00:00,DGOP/DAyCFO/049/2018,2018-07-20 00:00:00,K 23/07/2018,2018-05-28 00:00:00,2018-08-18 00:00:00
0000000067,0000000134,1,ANTICIPO,2018-07-10 00:00:00,37,2018-07-11 00:00:00,2018-11-12 00:00:00,S/N RECAL,2018-07-17 00:00:00,DGOP/DAyCFO/050/2018,2018-07-23 00:00:00,K 23/07/2018,2018-06-04 00:00:00,2018-10-06 00:00:00
0000000068,0000000081,1,ANTICIPO,2018-07-18 00:00:00,52,2018-07-19 00:00:00,2018-10-09 00:00:00,S/N RECAL,2018-07-24 00:00:00,DGOP/DAyCFO/051/2018,2018-07-25 00:00:00,k 25/07/2018,2018-05-28 00:00:00,2018-08-18 00:00:00
0000000069,0000000078,1,ANTICIPO,2018-07-18 00:00:00,52,2018-07-19 00:00:00,2018-10-09 00:00:00,S/N RECAL,2018-07-24 00:00:00,DGOP/DAyCFO/052/2018,2018-07-25 00:00:00,K 25/07/2018,2018-05-28 00:00:00,2018-08-18 00:00:00
0000000070,0000000079,1,ANTICIPO,2018-07-18 00:00:00,51,2018-07-18 00:00:00,2018-10-08 00:00:00,S/N RECAL,2018-07-24 00:00:00,DGOP/DAyCFO/053/2018,2018-07-25 00:00:00,K 25/07/2018,2018-05-28 00:00:00,2018-08-18 00:00:00
0000000072,0000000152,1,ANTICIPO,2018-07-17 00:00:00,23,2018-07-18 00:00:00,2018-10-09 00:00:00,S/N RECAL ,2018-07-24 00:00:00,DGOP/055/2018,2018-07-27 00:00:00,K 27/07/2018,2018-06-25 00:00:00,2018-09-22 00:00:00
0000000073,0000000162,1,ANTICIPO,2018-06-25 00:00:00,36,2018-06-26 00:00:00,2018-07-29 00:00:00,S/N RECAL,2018-07-02 00:00:00,DGOP/056/2018,2018-07-09 00:00:00,K 27/07/2018,2018-05-21 00:00:00,2018-06-23 00:00:00
0000000074,0000000163,1,ANTICIPO,2018-06-25 00:00:00,36,2018-06-26 00:00:00,2018-07-29 00:00:00,S/N RECAL,2018-07-02 00:00:00,DGOP/056/2018,2018-07-09 00:00:00,K 27/07/2018,2018-05-21 00:00:00,2018-06-23 00:00:00
0000000075,0000000170,1,ANTICIPO,2018-07-16 00:00:00,22,2018-07-17 00:00:00,2018-10-14 00:00:00,S/N RECAL,2018-07-19 00:00:00,DGOP/DAyCFO/058/2018,2018-07-26 00:00:00,K 31/07/2018,2018-06-25 00:00:00,2018-09-22 00:00:00
0000000076,0000000167,1,ANTICIPO,2018-07-18 00:00:00,24,2018-07-19 00:00:00,2018-10-30 00:00:00,S/N RECAL,2018-07-24 00:00:00,DGOP/DAyCFO/059/2018,2018-07-31 00:00:00,K 31/07/2018,2018-06-25 00:00:00,2018-10-06 00:00:00
