Id_Capitulo,Clave,Descripcion,Importe
490,1,1 CONCEPTOS,53654.05
491,1,1 CONCEPTOS,50734.14
492,1,1 CONCEPTOS,389262.98
493,1,1 CONCEPTOS,11883
494,1,1 CONCEPTOS,251951.7
495,1,1 CONCEPTOS,170761.78
496,1,1 CONCEPTOS,25725.19
510,1,1 CONCEPTOS,136048.35
511,1,1 CONCEPTOS,44595.79
512,1,1 CONCEPTOS,69602.63
513,1,1 CONCEPTOS,191166.92
514,1,1 CONCEPTOS,231715.88
515,1,1 CONCEPTOS,40111.22
516,1,1 CONCEPTOS,341430.95
517,1,1 CONCEPTOS,102437.95
518,1,1 CONCEPTOS,5288.15
519,1,1 CONCEPTOS,189027.09
520,1,1 CONCEPTOS,14104.71
521,1,1 CONCEPTOS,4600
526,1,1 Conceptos,12905.98
527,1,1 Conceptos,1254.88
528,1,1 Conceptos,5260.2
529,1,1 Conceptos,22605.65
530,1,1 Conceptos,27626.72
531,1,1 Conceptos,13589.58
532,1,1 Conceptos,22468.33
533,1,1 Conceptos,12929.21
534,1,1 Conceptos,704860.66
535,1,1 Conceptos,224277.37
536,1,1 Conceptos,14375.84
537,1,1 Conceptos,6619.47
538,1,1 Conceptos,95859.92
539,1,1 Conceptos,4673.9
540,1,1 Conceptos,42463.94
541,1,1 Conceptos,36908.88
542,1,1 Conceptos,1643.28
543,1,1 Conceptos,36617.48
544,1,1 Conceptos,1275972.73
545,1,1 Conceptos,44974.85
546,1,1 Conceptos,96747.04
547,1,1 Conceptos,72218.3
548,1,1 Conceptos,5509.45
549,1,1 CONCEPTOS,89939.56
550,1,1 CONCEPTOS,23023.99
551,1,1 CONCEPTOS,70783.61
552,1,1 CONCEPTOS,11846.51
553,1,1 CONCEPTOS,4544.54
554,1,1 CONCEPTOS,7043.94
555,1,1 CONCEPTOS,17365.13
556,1,1 CONCEPTOS,23227.53
557,1,1 CONCEPTOS,28237.3
558,1,1 CONCEPTOS,16377.09
559,1,1 CONCEPTOS,5218.83
560,1,1 CONCEPTOS,287.05
561,1,1 CONCEPTOS,2378.33
562,1,1 CONCEPTOS,25860.11
563,1,1 CONCEPTOS,5514.15
564,1,1 CONCEPTOS,6076.4
565,1,1 CONCEPTOS,184.73
566,1,1 CONCEPTOS,183556.56
567,1,1 CONCEPTOS,25425.28
568,1,1 CONCEPTOS,203427.85
569,1,1 CONCEPTOS,221437.84
570,1,1 CONCEPTOS,51614.16
571,1,1 CONCEPTOS,55391.09
572,1,1 CONCEPTOS,302788.82
573,1,1 CONCEPTOS,2865.02
574,1,1 CONCEPTOS,8724.48
575,1,1 CONCEPTOS,956.99
576,1,1 CONCEPTOS,7223.64
577,1,1 CONCEPTOS,30722.9
578,1,1 CONCEPTOS,487684.13
579,1,1 CONCEPTOS,22519.58
580,1,1 CONCEPTOS,24472.95
581,1,1 CONCEPTOS,2542.16
582,1,1 CONCEPTOS,37223.05
583,1,1 CONCEPTOS,204550.99
584,1,1 CONCEPTOS,44062.13
585,1,1 CONCEPTOS,93438.36
586,1,1 CONCEPTOS,118290.43
587,1,1 CONCEPTOS,42535.4
588,1,1 CONCEPTOS,1382.63
589,1,1 CONCEPTOS,107088.34
590,1,1 CONCEPTOS,17365.02
591,1,1 CONCEPTOS,12615.11
592,1,1 CONCEPTOS,3508.53
593,1,1 CONCEPTOS,76697.36
594,1,1 CONCEPTOS,238145.29
595,1,1 CONCEPTOS,104682.18
596,1,1 CONCEPTOS,212671.34
597,1,1 CONCEPTOS,111186.92
598,1,1 CONCEPTOS,42766.64
599,1,1 CONCEPTOS,3288.03
600,1,1 CONCEPTOS,12397.01
615,1,1 Conceptos,859168.16
616,1,1 CONCEPTOS,114758.87
617,1,1 CONCEPTOS,175395.71
618,1,1 CONCEPTOS,32885.33
619,1,1 Conceptos,41312.54
620,1,1 Conceptos,1850.27
621,1,1 Conceptos,16729.09
622,1,1 Conceptos,2540.83
623,1,1 Conceptos,20995.62
624,1,1 Conceptos,9340.58
625,1,1 Conceptos,13371.66
626,1,1 Conceptos,33720.3
627,1,1 Conceptos,5793.94
628,1,1 Conceptos,11400.65
629,1,1 Conceptos,1254.88
630,1,1 Conceptos,5260.2
631,1,1 Conceptos,20652.45
632,1,1 Conceptos,24506.83
633,1,1 Conceptos,12749.05
634,1,1 Conceptos,22468.33
635,1,1 Conceptos,23193.72
636,1,1 Conceptos,1254.88
637,1,1 Conceptos,5260.2
638,1,1 Conceptos,31917.57
639,1,1 Conceptos,44122.91
640,1,1 Conceptos,18323.13
641,1,1 Conceptos,27871.12
642,1,1 Conceptos,24951.89
643,1,1 Conceptos,1254.88
644,1,1 Conceptos,5260.2
645,1,1 Conceptos,31917.57
646,1,1 Conceptos,44122.91
647,1,1 Conceptos,18683.33
648,1,1 Conceptos,27871.12
649,1,1 Conceptos,8837.36
650,1,1 Conceptos,22468.33
651,1,1 Conceptos,11617.61
652,1,1 Conceptos,18877.74
653,1,1 Conceptos,16156.15
654,1,1 Conceptos,5260.2
655,1,1 Conceptos,1254.88
684,1,1 Conceptos,24951.89
685,1,1 Conceptos,1254.88
686,1,1 Conceptos,5260.2
687,1,1 Conceptos,31917.57
688,1,1 Conceptos,44122.91
689,1,1 Conceptos,18683.33
690,1,1 Conceptos,27871.12
691,1,1 Conceptos,35508.98
692,1,1 Conceptos,10142.32
693,1,1 Conceptos,160123.69
694,1,1 Conceptos,15344.04
695,1,1 Conceptos,110796.6
696,1,1 Conceptos,39279.46
697,1,1 Conceptos,18965.69
698,1,1 Conceptos,10754.22
699,1,1 Conceptos,23383.09
700,1,1 Conceptos,4551.53
701,1,1 Conceptos,50305.21
702,1,1 Conceptos,58925.12
703,1,1 Conceptos,28117.3
704,1,1 Conceptos,13589.01
705,1,1 Conceptos,169992.45
706,1,1 Conceptos,11593.04
707,1,1 Conceptos,2473.95
708,1,1 Conceptos,29817.7
709,1,1 Conceptos,33413.16
710,1,1 Conceptos,7928.39
711,1,1 Conceptos,5086.21
712,1,1 Conceptos,66101.05
713,1,1 Conceptos,2930.89
714,1,1 Conceptos,925.97
715,1,1 Conceptos,44620.67
716,1,1 Conceptos,42811.07
717,1,1 Conceptos,16288.08
718,1,1 Conceptos,8918.06
719,1,1 Conceptos,114149.95
720,1,1 Conceptos,4153.92
721,1,1 Conceptos,1623.58
722,1,1 Conceptos,17878.11
723,1,1 Conceptos,1254.88
724,1,1 Conceptos,5260.2
725,1,1 Conceptos,26463.93
726,1,1 Conceptos,34191.07
727,1,1 Conceptos,15652.03
728,1,1 Conceptos,27871.12
729,1,1 Conceptos,13735.81
730,1,1 Conceptos,1254.88
731,1,1 Conceptos,5260.2
732,1,1 Conceptos,22605.65
733,1,1 Conceptos,27626.72
734,1,1 Conceptos,13804.28
735,1,1 Conceptos,22468.33
736,1,1 CONCEPTOS,624434.55
737,1,1 CONCEPTOS,901229.06
738,1,1 CONCEPTOS,1105393.71
739,1,1 CONCEPTOS,219204.83
740,1,1 CONCEPTOS,100442.36
741,1,1 CONCEPTOS,44441.01
742,1,1 CONCEPTOS,5676.58
743,1,1 CONCEPTOS,30681.26
744,1,1 CONCEPTOS,7606.74
745,1,1 CONCEPTOS,152624.74
746,1,1 CONCEPTOS,35341.24
747,1,1 CONCEPTOS,90969.84
748,1,1 CONCEPTOS,49992.04
749,1,1 CONCEPTOS,19562.4
750,1,1 CONCEPTOS,10754.22
751,1,1 CONCEPTOS,23383.09
752,1,1 CONCEPTOS,4551.53
760,1,1 Conceptos,10898.7
761,1,1 Conceptos,1254.88
762,1,1 Conceptos,5260.2
763,1,1 Conceptos,20652.45
764,1,1 Conceptos,24506.83
765,1,1 Conceptos,12642.76
766,1,1 Conceptos,22468.33
767,1,1 Conceptos,11400.65
768,1,1 Conceptos,1254.88
769,1,1 Conceptos,5260.2
770,1,1 Conceptos,20652.45
771,1,1 Conceptos,24506.83
772,1,1 Conceptos,12749.05
773,1,1 Conceptos,22468.33
788,1,1 Conceptos,8837.36
789,1,1 Conceptos,1254.88
790,1,1 Conceptos,5260.2
791,1,1 Conceptos,16156.15
792,1,1 Conceptos,18877.74
793,1,1 Conceptos,11617.61
794,1,1 Conceptos,22468.33
795,1,1 Conceptos,1254.88
796,1,1 Conceptos,8837.36
797,1,1 Conceptos,5260.2
798,1,1 Conceptos,16156.15
799,1,1 Conceptos,18877.74
800,1,1 Conceptos,11617.61
801,1,1 Conceptos,22468.33
802,1,1 Conceptos,9280.83
803,1,1 Conceptos,1254.88
804,1,1 Conceptos,5260.2
805,1,1 Conceptos,16156.15
806,1,1 Conceptos,18877.74
807,1,1 Conceptos,11724.7
808,1,1 Conceptos,22468.33
809,1,1 Conceptos,8837.36
810,1,1 Conceptos,1254.88
811,1,1 Conceptos,5260.2
812,1,1 Conceptos,16156.15
813,1,1 Conceptos,18877.74
814,1,1 Conceptos,11617.61
815,1,1 Conceptos,22468.33
822,1,CONCEPTOS,0
823,1,CONCEPTOS,0
824,1,1 CONCEPTOS,417871.35
825,1,1 CONCEPTOS,111948.55
826,1,1 CONCEPTOS,347112.67
827,1,1 CONCEPTOS,2356262.68
828,1,1 CONCEPTOS,39334.68
829,1,1 CONCEPTOS,404844.14
830,1,1 CONCEPTOS,55652.77
831,1,1 CONCEPTOS,554131.58
832,1,1 CONCEPTOS,168566.23
833,1,1 CONCEPTOS,52773.25
834,1,1 CONCEPTOS,336691.57
835,1,1 CONCEPTOS,594307.66
836,1,1 CONCEPTOS,497592.78
837,1,1 CONCEPTOS,1326637.54
838,1,1 CONCEPTOS,162567.65
851,1,1 CONCEPTOS,14004.76
852,1,1 CONCEPTOS,2259.66
853,1,1 CONCEPTOS,18778.73
854,1,1 CONCEPTOS,10665.96
855,1,1 CONCEPTOS,12578.24
856,1,1 CONCEPTOS,29575.52
857,1,1 CONCEPTOS,2149422.24
858,1,1 CONCEPTOS,957056.33
859,1,1 CONCEPTOS,728720.32
860,1,1 CONCEPTOS,40410
861,1,1 CONCEPTOS,70120.7
862,1,1 CONCEPTOS,389038
863,1,1 CONCEPTOS,6689.85
864,1,1 Conceptos,11200.8
865,1,1 Conceptos,672665.94
866,1,1 Conceptos,203323.75
867,1,1 Conceptos,5734.56
868,1,1 Conceptos,14375.84
869,1,1 Conceptos,71414.65
870,1,1 Conceptos,3208.42
871,1,1 Conceptos,29209.65
872,1,1 Conceptos,464.76
873,1,1 Conceptos,17219.04
874,1,1 Conceptos,21925.72
875,1,1 Conceptos,165.6
876,1,1 Conceptos,36908.88
877,1,1 Conceptos,1643.28
878,1,1 1 CONCEPTOS,10503.57
879,1,1 1 CONCEPTOS,2259.66
880,1,1 1 CONCEPTOS,18778.73
881,1,1 1 CONCEPTOS,8532.77
882,1,1 1 CONCEPTOS,12578.24
883,1,1 1 CONCEPTOS,29575.52
884,1,1 Conceptos,1769939.84
885,1,1 Conceptos,2144469.52
886,1,1 Conceptos,63408.48
887,1,1 Conceptos,40848
888,1,1 Conceptos,41862.06
889,1,1 Conceptos,335042.5
890,1,1 Conceptos,197
891,1,1 Conceptos,10503.57
892,1,1 Conceptos,2259.65
893,1,1 Conceptos,18778.73
894,1,1 Conceptos,8532.77
895,1,1 Conceptos,12578.24
896,1,1 Conceptos,28401.12
897,1,1 CONCEPTOS,21007.14
898,1,1 CONCEPTOS,2259.66
899,1,1 CONCEPTOS,18778.73
900,1,1 CONCEPTOS,12799.16
901,1,1 CONCEPTOS,16844.63
902,1,1 CONCEPTOS,33298.38
903,1,1 Conceptos,14004.76
904,1,1 Conceptos,2259.65
905,1,1 Conceptos,15648.94
906,1,1 Conceptos,10665.96
907,1,1 Conceptos,12578.24
908,1,1 Conceptos,26798.55
909,1,1 Conceptos,17505.95
910,1,1 Conceptos,2259.65
911,1,1 Conceptos,18778.73
912,1,1 Conceptos,14932.35
913,1,1 Conceptos,16844.63
914,1,1 Conceptos,36370.75
915,1,1 CONCEPTOS,1841313.12
916,1,1 CONCEPTOS,1481476.57
917,1,1 CONCEPTOS,399354.97
918,1,1 CONCEPTOS,174353.25
919,1,1 CONCEPTOS,48784.8
920,1,1 CONCEPTOS,471679
921,1,1 CONCEPTOS,4446
922,1,1 CONCEPTOS,14419.19
923,1,1 CONCEPTOS,26658.47
924,1,1 CONCEPTOS,47122.99
925,1,1 CONCEPTOS,41264.92
