Id_Estimacion_Concepto,Id_Estimacion,Id_Concepto,Contratado,Actual,Anterior,Acumulado,Por_Estimar,Precio_Unitario,Importe,Excedente,Excedente_Acumulado
28114,0000000762,26953,108.50,96.00,0.00,96.00,12.50,379.35,36417.60,0.00,0.00
28115,0000000762,26959,727.42,403.40,0.00,403.40,324.02,11.17,4505.98,0.00,0.00
28116,0000000762,26960,727.42,403.40,0.00,403.40,324.02,4.44,1791.10,0.00,0.00
28117,0000000762,26961,727.42,403.40,0.00,403.40,324.02,8.59,3465.21,0.00,0.00
28118,0000000762,26962,21095.32,11698.60,0.00,11698.60,9396.72,3.36,39307.30,0.00,0.00
28119,0000000762,26963,3637.12,1613.60,0.00,1613.60,2023.52,1.95,3146.52,0.00,0.00
28120,0000000762,26964,71.00,95.68,0.00,95.68,-24.68,386.47,36977.45,24.68,24.68
28121,0000000762,26965,53.57,71.83,0.00,71.83,-18.26,386.47,27760.14,18.26,18.26
28122,0000000762,26966,85.20,106.39,0.00,106.39,-21.19,386.47,41116.54,21.19,21.19
28123,0000000762,26958,108.48,88.66,0.00,88.66,19.82,220.28,19530.02,0.00,0.00
28124,0000000762,26967,142.00,321.05,0.00,321.05,-179.05,13.49,4330.96,179.05,179.05
28125,0000000762,26968,1207.00,1234.48,0.00,1234.48,-27.48,21.31,26306.77,27.48,27.48
28126,0000000762,26973,355.00,342.91,0.00,342.91,12.09,21.02,7207.97,0.00,0.00
28127,0000000762,26979,4.00,5.00,0.00,5.00,-1.00,829.91,4149.55,1.00,1.00
28128,0000000762,27010,1.00,1.00,0.00,1.00,0.00,4311.15,4311.15,0.00,0.00
28170,0000000294,42206,1.00,1.00,0.00,1.00,0.00,5509.45,5509.45,0.00,0.00
28171,0000000294,42228,1.50,1.50,0.00,1.50,0.00,27.96,41.94,0.00,0.00
28172,0000000294,42229,28.80,18.89,0.00,18.89,9.91,163.14,3081.71,0.00,0.00
28173,0000000294,42233,25.92,14.03,0.00,14.03,11.89,89.36,1253.72,0.00,0.00
28174,0000000294,42234,1.80,1.90,0.00,1.90,-0.10,1537.73,2921.69,0.10,0.10
28175,0000000294,42235,120.00,90.67,0.00,90.67,29.33,24.58,2228.67,0.00,0.00
28176,0000000294,42242,6.00,6.00,0.00,6.00,0.00,1326.90,7961.40,0.00,0.00
28177,0000000294,42251,1.00,1.00,0.00,1.00,0.00,246.36,246.36,0.00,0.00
28178,0000000294,42252,200.00,200.00,0.00,200.00,0.00,3.16,632.00,0.00,0.00
28179,0000000294,42253,4.00,3.00,0.00,3.00,1.00,395.40,1186.20,0.00,0.00
28180,0000000294,42254,2.00,3.00,0.00,3.00,-1.00,943.76,2831.28,1.00,1.00
28181,0000000294,42256,1.00,1.00,0.00,1.00,0.00,508.51,508.51,0.00,0.00
