Id_Estimacion_Amortizacion_Desglose,Id_Estimacion,Id_Contrato_Ampliacion,Concepto,Importe_Contratado,Actual,Anterior,Acumulado,Por_Ejercer,Porcentaje_Anticipo,Importe_Anticipo,Actual_Amortizacion,Anterior_Amortizacion,Acumulado_Amortizacion,Por_Amortizar,Periodo,Num_Rows
0000000148,0000000148,,CONTRATO,187307.52,168560.33,0.00,179446.69,7860.83,0.00,0.00,0.00,0.00,0.00,0.00,2018,0
0000000149,0000000149,,CONTRATO,5597587.97,699460.92,0.00,699460.92,4898127.05,30.00,1679276.39,209838.28,0.00,209838.28,1469438.11,2018,0
0000000150,0000000150,,CONTRATO,3347144.92,346421.03,0.00,346421.03,3000723.89,30.00,1004143.48,103926.31,0.00,103926.31,900217.17,2018,0
0000000151,0000000151,,CONTRATO,65001.33,12090.68,0.00,51609.30,13392.03,30.00,19500.40,7644.81,0.00,7644.81,11855.59,2018,0
0000000152,0000000152,,CONTRATO,65001.33,666.05,0.00,52275.35,12725.98,30.00,19500.40,0.00,0.00,0.00,19500.40,2018,0
0000000153,0000000153,,CONTRATO,114019.17,26896.86,0.00,100512.62,13506.55,30.00,34205.75,12121.02,0.00,12121.02,22084.73,2018,0
0000000154,0000000154,,CONTRATO,114019.17,764.49,0.00,101277.11,12742.06,30.00,34205.75,0.00,0.00,0.00,34205.75,2018,0
0000000155,0000000155,,CONTRATO,114019.17,27577.32,0.00,97171.15,16848.02,30.00,34205.75,13327.60,0.00,13327.60,20878.15,2018,0
0000000156,0000000156,,CONTRATO,114019.17,764.49,0.00,97935.64,16083.53,30.00,34205.75,0.00,0.00,0.00,34205.75,2018,0
0000000157,0000000157,,CONTRATO,5597587.97,414457.72,0.00,1113918.64,4483669.33,30.00,1679276.39,124337.32,0.00,334175.60,1345100.79,2018,0
0000000158,0000000158,,CONTRATO,5099090.18,532280.93,0.00,532280.93,4566809.25,30.00,1529727.04,159684.28,0.00,159684.28,1370042.76,2018,0
0000000159,0000000159,,CONTRATO,5099090.18,371603.34,0.00,903884.27,4195205.91,30.00,1529727.04,111481.00,0.00,271165.28,1258561.76,2018,0
0000000160,0000000160,,CONTRATO,5036090.63,638668.96,0.00,1357213.27,3678877.36,30.00,1510827.19,191600.69,0.00,407163.98,1103663.21,2018,0
0000000161,0000000161,,CONTRATO,3480953.64,73458.93,0.00,1537471.22,1943482.42,30.00,1044286.09,22037.68,0.00,461241.36,583044.73,2018,0
0000000162,0000000162,,CONTRATO,1529438.15,489015.71,0.00,1234425.39,295012.76,30.00,458831.46,146704.71,0.00,370327.61,88503.85,2018,0
0000000163,0000000163,,CONTRATO,1529438.15,139874.47,0.00,1374299.86,155138.29,30.00,458831.46,41962.34,0.00,412289.95,46541.51,2018,0
0000000164,0000000164,,CONTRATO,1529438.15,155137.95,0.00,1529437.81,0.34,30.00,458831.46,46541.51,0.00,458831.46,0.00,2018,0
0000000166,0000000166,,CONTRATO,1322702.59,1264700.67,0.00,1264700.67,58001.92,30.00,396810.78,396810.78,0.00,396810.78,0.00,2018,0
0000000167,0000000167,,CONTRATO,304645.09,117091.05,0.00,117091.05,187554.04,30.00,91393.53,35127.32,0.00,35127.32,56266.21,2018,0
0000000168,0000000168,,CONTRATO,304645.09,85245.04,0.00,202336.09,102309.00,30.00,91393.53,25573.51,0.00,60700.83,30692.70,2018,0
0000000169,0000000169,,CONTRATO,4005662.13,141275.55,0.00,555315.59,3450346.54,30.00,1201698.64,42382.67,0.00,166594.68,1035103.96,2018,0
0000000170,0000000170,,CONTRATO,4005662.13,177343.25,0.00,732658.84,3273003.29,30.00,1201698.64,53202.98,0.00,219797.66,981900.98,2018,0
0000000171,0000000171,,CONTRATO,94022.73,26774.90,0.00,26774.90,67247.83,30.00,28206.82,8032.47,0.00,8032.47,20174.35,2018,0
0000000172,0000000172,,CONTRATO,95069.08,30836.28,0.00,30836.28,64232.80,30.00,28520.72,9250.88,0.00,9250.88,19269.84,2018,0
0000000174,0000000174,,CONTRATO,2555808.43,269361.48,0.00,269361.48,2286446.95,30.00,766742.53,80808.44,0.00,80808.44,685934.09,2018,0
0000000175,0000000175,,CONTRATO,687334.92,176310.53,0.00,176310.53,511024.39,30.00,206200.47,52893.16,0.00,52893.16,153307.31,2018,0
0000000177,0000000177,,CONTRATO,710273.52,79400.12,0.00,79400.12,630873.40,30.00,213082.06,23820.04,0.00,23820.04,189262.02,2018,0
0000000178,0000000178,,CONTRATO,710273.52,227601.42,0.00,307001.54,403271.98,30.00,213082.06,68280.43,0.00,92100.47,120981.59,2018,0
0000000179,0000000179,,CONTRATO,710273.52,256587.24,0.00,563588.78,146684.74,30.00,213082.06,76976.17,0.00,169076.64,44005.42,2018,0
0000000180,0000000180,,CONTRATO,121785.73,43908.05,0.00,43908.05,77877.68,30.00,36535.72,13172.42,0.00,13172.42,23363.30,2018,0
0000000181,0000000181,,CONTRATO,123762.79,39846.67,0.00,39846.67,83916.12,30.00,37128.84,11954.00,0.00,11954.00,25174.84,2018,0
0000000182,0000000182,,CONTRATO,98626.48,43677.47,0.00,43677.47,54949.01,30.00,29587.94,13103.24,0.00,13103.24,16484.70,2018,0
0000000183,0000000183,,CONTRATO,167045.15,65930.17,0.00,65930.17,101114.98,30.00,50113.55,19779.05,0.00,19779.05,30334.50,2018,0
0000000184,0000000184,,CONTRATO,14769382.81,102486.46,0.00,2453252.40,12316130.41,50.00,7384691.40,51243.23,0.00,1226626.21,6158065.19,2018,0
0000000185,0000000185,,CONTRATO,8614502.32,123547.39,0.00,712981.83,7901520.49,50.00,4307251.16,61773.70,0.00,356490.92,3950760.24,2018,0
0000000186,0000000186,,CONTRATO,3347144.92,328702.58,0.00,675123.61,2672021.31,30.00,1004143.48,98610.77,0.00,202537.08,801606.40,2018,0
0000000187,0000000187,,CONTRATO,97987.83,65404.92,0.00,75325.39,22662.44,30.00,29396.35,19621.48,0.00,22597.62,6798.73,2018,0
0000000190,0000000190,,CONTRATO,98626.48,69076.97,0.00,79502.59,19123.89,30.00,29587.94,20723.09,0.00,23850.78,5737.16,2018,0
0000000191,0000000191,,CONTRATO,97987.83,69160.05,0.00,79080.52,18907.31,30.00,29396.35,20748.02,0.00,23724.16,5672.19,2018,0
0000000192,0000000192,,CONTRATO,122625.15,25200.27,0.00,50634.52,71990.63,30.00,36787.55,7560.08,0.00,15190.36,21597.19,2018,0
0000000193,0000000193,,CONTRATO,737017.86,55441.47,0.00,325565.19,411452.67,30.00,221105.36,16632.44,0.00,97669.56,123435.80,2018,0
0000000194,0000000194,,CONTRATO,1495505.59,280407.29,0.00,1495505.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2018,0
0000000195,0000000195,,CONTRATO,499898.90,279981.58,0.00,443088.04,56810.86,30.00,149969.67,83994.47,0.00,132926.41,17043.26,2018,0
0000000196,0000000196,,CONTRATO,254561.58,44250.51,0.00,44250.51,210311.07,30.00,76368.47,13275.15,0.00,13275.15,63093.32,2018,0
0000000197,0000000197,,CONTRATO,95385.05,43131.53,0.00,95385.05,0.00,30.00,28615.52,12939.46,0.00,28615.52,0.00,2018,0
0000000198,0000000198,,CONTRATO,125125.08,65449.91,0.00,125125.07,0.01,30.00,37537.52,19634.97,0.00,37537.52,0.00,2018,0
0000000199,0000000199,,CONTRATO,94022.73,41769.22,0.00,94022.73,0.00,30.00,28206.82,12530.77,0.00,28206.82,0.00,2018,0
0000000201,0000000201,,CONTRATO,1170101.62,18092.88,0.00,18092.88,1152008.74,30.00,351030.49,5427.86,0.00,5427.86,345602.63,2018,0
0000000202,0000000202,,CONTRATO,5128832.94,1214618.79,0.00,1214618.79,3914214.15,30.00,1538649.88,364385.64,0.00,364385.64,1174264.24,2018,0
